,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜いずれかの機器でインターネットを使っている（Ｑ２で、1つ以上「１」を回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票５〕Ｑ５（無線ＬＡＮ利用まとめ）あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,
,該当数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,無線ＬＡＮ利用（計）,無線ＬＡＮ非利用,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）
中学生（計）,1055    ,35.5    ,0.9    ,0.4    ,3.0    ,1.0    ,0.4    ,20.3    ,8.3    ,16.5    ,6.4    ,0.2    ,12.1    ,17.2    ,6.4    ,1.4    ,100.0    ,-,39.0    ,1.4    ,27.3    ,22.5    ,12.1    ,19.4    ,1.4    ,40.2    ,0.8    ,39.4    
  １人以上いる,580    ,32.8    ,1.0    ,0.7    ,2.9    ,1.4    ,0.5    ,18.4    ,7.6    ,15.2    ,4.8    ,-,13.3    ,14.3    ,4.0    ,1.4    ,100.0    ,-,36.7    ,1.9    ,24.5    ,19.8    ,13.3    ,16.2    ,1.4    ,38.4    ,1.2    ,37.2    
  いない,475    ,38.9    ,0.6    ,-,3.2    ,0.6    ,0.2    ,22.5    ,9.3    ,18.1    ,8.4    ,0.4    ,10.7    ,20.6    ,9.3    ,1.5    ,100.0    ,-,41.7    ,0.8    ,30.7    ,25.7    ,10.7    ,23.4    ,1.5    ,42.3    ,0.2    ,42.1    
高校生（計）,965    ,71.2    ,0.2    ,0.5    ,1.0    ,0.9    ,-,22.2    ,9.3    ,8.2    ,1.3    ,-,7.9    ,8.0    ,4.9    ,0.8    ,100.0    ,-,72.2    ,0.9    ,30.3    ,9.3    ,7.9    ,9.7    ,0.8    ,73.1    ,0.5    ,72.6    
  １人以上いる,553    ,71.4    ,-,0.9    ,1.1    ,1.3    ,-,20.1    ,9.6    ,7.1    ,1.3    ,-,7.4    ,7.2    ,3.6    ,1.1    ,100.0    ,-,72.3    ,1.3    ,28.0    ,8.3    ,7.4    ,8.5    ,1.1    ,73.4    ,0.9    ,72.7    
  いない,412    ,70.9    ,0.5    ,-,1.0    ,0.5    ,-,25.0    ,9.0    ,9.7    ,1.5    ,-,8.5    ,9.0    ,6.6    ,0.5    ,100.0    ,-,72.1    ,0.5    ,33.3    ,10.7    ,8.5    ,11.4    ,0.5    ,72.6    ,-,72.6    
〔地域〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道・東北,323    ,42.1    ,0.3    ,0.9    ,0.9    ,1.2    ,0.3    ,17.6    ,9.6    ,9.9    ,1.5    ,0.3    ,8.4    ,23.2    ,8.4    ,0.9    ,100.0    ,-,44.0    ,1.5    ,26.6    ,11.8    ,8.4    ,25.7    ,0.9    ,44.9    ,1.2    ,44.0    
北関東,414    ,40.6    ,-,-,1.7    ,0.5    ,-,19.6    ,7.7    ,12.3    ,4.6    ,0.2    ,7.2    ,17.9    ,4.6    ,0.5    ,100.0    ,-,42.3    ,0.5    ,26.1    ,16.4    ,7.2    ,19.1    ,0.5    ,42.8    ,-,42.8    
南関東,379    ,43.8    ,0.5    ,0.8    ,2.9    ,0.8    ,0.3    ,20.3    ,9.0    ,16.1    ,3.7    ,0.3    ,6.1    ,15.6    ,6.3    ,1.6    ,100.0    ,-,46.7    ,1.1    ,28.8    ,19.0    ,6.1    ,17.4    ,1.6    ,47.8    ,1.1    ,46.7    
東海・北陸・信越,549    ,45.0    ,0.7    ,0.5    ,1.8    ,0.4    ,0.4    ,23.1    ,7.3    ,13.5    ,6.0    ,-,10.6    ,19.1    ,5.8    ,0.5    ,100.0    ,-,47.2    ,0.7    ,29.3    ,19.1    ,10.6    ,20.4    ,0.5    ,47.9    ,0.9    ,47.0    
近畿,424    ,47.2    ,0.7    ,-,5.0    ,1.4    ,0.2    ,24.3    ,7.8    ,13.2    ,3.3    ,0.2    ,9.4    ,16.5    ,5.7    ,1.7    ,100.0    ,-,51.9    ,1.7    ,30.0    ,16.7    ,9.4    ,18.4    ,1.7    ,52.8    ,0.2    ,52.8    
中国・四国,249    ,39.8    ,1.2    ,-,1.6    ,2.8    ,-,19.7    ,10.8    ,16.9    ,3.6    ,-,9.2    ,12.0    ,5.2    ,1.2    ,100.0    ,-,42.2    ,2.8    ,28.9    ,20.1    ,9.2    ,14.1    ,1.2    ,44.6    ,-,44.6    
