,,,,,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,,,,,
〔回答票９〕Ｆ３　あなたは、学校へ通っていますか。在学中（ざいがくちゅう）の人は学校の種類と学年について〔在学中（ざいがくちゅう）の方〕（１から10まで）の中からお答えください。在学中（ざいがくちゅう）でない人は、最後に卒業（中退を含む）した学校について〔在学中（ざいがくちゅう）でない方〕（11から13）の中からお答えください。（１つだけ）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,
,総数,小学４年生,小学５年生,小学６年生,中学１年生,中学２年生,中学３年生,高校１年生,高校２年生,高校３年生,専門学校、各種学校等,中学校卒業,高校中退,専門学校、各種学校等中退・卒業,小学生（計）,中学生（計）,高校生（計）,その他（計）
静岡県,104    ,6.7    ,9.6    ,8.7    ,13.5    ,10.6    ,9.6    ,21.2    ,14.4    ,5.8    ,-,-,-,-,25.0    ,33.7    ,41.3    ,-
愛知県,241    ,5.4    ,9.5    ,14.5    ,15.4    ,12.0    ,13.7    ,9.1    ,14.5    ,4.1    ,-,1.2    ,0.4    ,-,29.5    ,41.1    ,27.8    ,1.7    
三重県,54    ,1.9    ,14.8    ,11.1    ,9.3    ,18.5    ,22.2    ,9.3    ,9.3    ,3.7    ,-,-,-,-,27.8    ,50.0    ,22.2    ,-
滋賀県,44    ,6.8    ,13.6    ,11.4    ,22.7    ,11.4    ,11.4    ,6.8    ,6.8    ,9.1    ,-,-,-,-,31.8    ,45.5    ,22.7    ,-
京都府,72    ,5.6    ,12.5    ,15.3    ,8.3    ,25.0    ,15.3    ,4.2    ,12.5    ,1.4    ,-,-,-,-,33.3    ,48.6    ,18.1    ,-
大阪府,233    ,6.4    ,11.6    ,16.3    ,11.6    ,9.4    ,16.7    ,12.0    ,12.0    ,3.9    ,-,-,-,-,34.3    ,37.8    ,27.9    ,-
兵庫県,147    ,11.6    ,10.2    ,19.7    ,8.8    ,10.9    ,12.9    ,12.2    ,8.8    ,4.1    ,-,-,0.7    ,-,41.5    ,32.7    ,25.2    ,0.7    
奈良県,31    ,3.2    ,22.6    ,3.2    ,9.7    ,9.7    ,12.9    ,16.1    ,9.7    ,12.9    ,-,-,-,-,29.0    ,32.3    ,38.7    ,-
和歌山県,27    ,-,18.5    ,14.8    ,-,14.8    ,18.5    ,3.7    ,22.2    ,7.4    ,-,-,-,-,33.3    ,33.3    ,33.3    ,-
鳥取県,14    ,7.1    ,7.1    ,7.1    ,21.4    ,28.6    ,7.1    ,7.1    ,14.3    ,-,-,-,-,-,21.4    ,57.1    ,21.4    ,-
島根県,21    ,4.8    ,9.5    ,9.5    ,-,23.8    ,14.3    ,19.0    ,19.0    ,-,-,-,-,-,23.8    ,38.1    ,38.1    ,-
岡山県,65    ,4.6    ,3.1    ,15.4    ,16.9    ,24.6    ,18.5    ,7.7    ,6.2    ,3.1    ,-,-,-,-,23.1    ,60.0    ,16.9    ,-
広島県,72    ,5.6    ,8.3    ,11.1    ,11.1    ,9.7    ,8.3    ,22.2    ,19.4    ,4.2    ,-,-,-,-,25.0    ,29.2    ,45.8    ,-
山口県,45    ,11.1    ,4.4    ,15.6    ,8.9    ,11.1    ,13.3    ,6.7    ,17.8    ,8.9    ,-,-,2.2    ,-,31.1    ,33.3    ,33.3    ,2.2    
徳島県,26    ,11.5    ,7.7    ,15.4    ,11.5    ,11.5    ,23.1    ,3.8    ,3.8    ,11.5    ,-,-,-,-,34.6    ,46.2    ,19.2    ,-
香川県,33    ,6.1    ,21.2    ,12.1    ,6.1    ,15.2    ,15.2    ,15.2    ,6.1    ,3.0    ,-,-,-,-,39.4    ,36.4    ,24.2    ,-
愛媛県,34    ,14.7    ,11.8    ,11.8    ,17.6    ,2.9    ,2.9    ,-,32.4    ,5.9    ,-,-,-,-,38.2    ,23.5    ,38.2    ,-
高知県,16    ,6.3    ,12.5    ,12.5    ,12.5    ,6.3    ,18.8    ,6.3    ,6.3    ,18.8    ,-,-,-,-,31.3    ,37.5    ,31.3    ,-
福岡県,155    ,6.5    ,11.0    ,14.2    ,10.3    ,17.4    ,7.7    ,14.8    ,12.9    ,3.2    ,-,-,1.9    ,-,31.6    ,35.5    ,31.0    ,1.9    
佐賀県,20    ,15.0    ,5.0    ,15.0    ,20.0    ,-,10.0    ,15.0    ,20.0    ,-,-,-,-,-,35.0    ,30.0    ,35.0    ,-
長崎県,44    ,15.9    ,20.5    ,20.5    ,9.1    ,11.4    ,4.5    ,9.1    ,6.8    ,2.3    ,-,-,-,-,56.8    ,25.0    ,18.2    ,-
熊本県,43    ,9.3    ,11.6    ,9.3    ,9.3    ,18.6    ,7.0    ,9.3    ,16.3    ,9.3    ,-,-,-,-,30.2    ,34.9    ,34.9    ,-
大分県,31    ,9.7    ,9.7    ,22.6    ,6.5    ,9.7    ,12.9    ,16.1    ,9.7    ,3.2    ,-,-,-,-,41.9    ,29.0    ,29.0    ,-
宮崎県,40    ,7.5    ,10.0    ,10.0    ,12.5    ,10.0    ,12.5    ,10.0    ,20.0    ,5.0    ,-,-,2.5    ,-,27.5    ,35.0    ,35.0    ,2.5    
鹿児島県,33    ,9.1    ,15.2    ,9.1    ,27.3    ,6.1    ,9.1    ,12.1    ,6.1    ,6.1    ,-,-,-,-,33.3    ,42.4    ,24.2    ,-
沖縄県,47    ,-,8.5    ,10.6    ,14.9    ,17.0    ,19.1    ,2.1    ,21.3    ,6.4    ,-,-,-,-,19.1    ,51.1    ,29.8    ,-
Ｑ１〔機器の利用状況〕,,,,,,,,,,,,,,,,,,
スマートフォン,1541    ,1.2    ,2.7    ,4.3    ,7.7    ,10.9    ,13.6    ,23.5    ,25.1    ,9.6    ,-,0.5    ,0.9    ,0.1    ,8.2    ,32.2    ,58.2    ,1.4    
格安スマートフォン,22    ,-,4.5    ,9.1    ,18.2    ,13.6    ,27.3    ,13.6    ,9.1    ,-,-,-,4.5    ,-,13.6    ,59.1    ,22.7    ,4.5    
機能限定・子供向けスマートフォン,60    ,15.0    ,15.0    ,20.0    ,21.7    ,10.0    ,5.0    ,10.0    ,1.7    ,1.7    ,-,-,-,-,50.0    ,36.7    ,13.3    ,-
契約切れスマートフォン,100    ,8.0    ,12.0    ,11.0    ,14.0    ,16.0    ,19.0    ,6.0    ,7.0    ,7.0    ,-,-,-,-,31.0    ,49.0    ,20.0    ,-
携帯電話,392    ,4.3    ,8.9    ,16.6    ,18.6    ,18.9    ,19.1    ,4.6    ,5.4    ,3.1    ,-,-,0.5    ,-,29.8    ,56.6    ,13.0    ,0.5    
機能限定電話・子ども向け携帯電話,307    ,21.8    ,28.7    ,26.4    ,9.8    ,10.1    ,1.6    ,-,1.0    ,0.7    ,-,-,-,-,76.9    ,21.5    ,1.6    ,-
ノートパソコン,846    ,3.7    ,7.9    ,12.3    ,11.5    ,13.5    ,15.2    ,12.4    ,16.5    ,6.7    ,-,0.1    ,0.1    ,-,23.9    ,40.2    ,35.7    ,0.2    
デスクトップパソコン,409    ,3.4    ,8.8    ,9.8    ,12.2    ,13.7    ,12.0    ,16.9    ,16.4    ,6.4    ,-,-,0.5    ,-,22.0    ,37.9    ,39.6    ,0.5    
タブレット,483    ,6.0    ,10.6    ,15.3    ,15.1    ,16.1    ,15.7    ,9.5    ,8.1    ,3.3    ,-,-,0.2    ,-,31.9    ,47.0    ,20.9    ,0.2    
学習用タブレット,202    ,6.4    ,18.3    ,7.9    ,24.3    ,21.8    ,12.9    ,8.4    ,-,-,-,-,-,-,32.7    ,58.9    ,8.4    ,-
子供向け娯楽用タブレット,9    ,22.2    ,33.3    ,11.1    ,-,22.2    ,11.1    ,-,-,-,-,-,-,-,66.7    ,33.3    ,-,-
携帯音楽プレイヤー,875    ,1.4    ,3.5    ,7.2    ,11.7    ,17.1    ,18.3    ,15.5    ,17.9    ,6.4    ,-,-,0.9    ,-,12.1    ,47.1    ,39.9    ,0.9    
携帯ゲーム機,1495    ,8.3    ,14.4    ,17.6    ,14.4    ,13.0    ,10.4    ,8.8    ,9.2    ,3.3    ,-,-,0.5    ,-,40.3    ,37.9    ,21.3    ,0.5    
据置型ゲーム機,891    ,7.6    ,13.2    ,17.3    ,14.5    ,13.0    ,11.9    ,9.5    ,10.0    ,2.7    ,-,-,0.2    ,-,38.2    ,39.4    ,22.2    ,0.2    
インターネット接続テレビ,114    ,4.4    ,7.0    ,11.4    ,12.3    ,20.2    ,12.3    ,15.8    ,13.2    ,3.5    ,-,-,-,-,22.8    ,44.7    ,32.5    ,-
利用している（計）,3142    ,5.9    ,10.4    ,12.6    ,12.3    ,13.3    ,13.1    ,12.9    ,13.4    ,5.3    ,-,0.2    ,0.5    ,0.0    ,28.9    ,38.7    ,31.6    ,0.8    
いずれも利用していない,299    ,16.4    ,23.7    ,17.1    ,12.7    ,14.0    ,11.0    ,3.0    ,1.3    ,0.7    ,-,-,-,-,57.2    ,37.8    ,5.0    ,-
Ａスマートフォン（計）,1678    ,2.1    ,3.6    ,5.4    ,8.7    ,10.9    ,13.6    ,22.2    ,23.2    ,9.0    ,-,0.4    ,0.9    ,0.1    ,11.0    ,33.2    ,54.4    ,1.4    
