,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,
Ｆ２　あなたは、今、何歳ですか。,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,
,総数,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,平均,標準偏差
携帯音楽プレイヤー,875    ,2.2    ,4.2    ,10.4    ,12.6    ,18.3    ,15.8    ,19.1    ,17.5    ,14.52    ,1.9    
携帯ゲーム機,1495    ,12.8    ,15.6    ,17.3    ,13.8    ,12.2    ,9.2    ,9.4    ,9.7    ,13.11    ,2.2    
据置型ゲーム機,891    ,12.0    ,14.1    ,16.9    ,13.5    ,13.2    ,10.8    ,10.5    ,8.9    ,13.21    ,2.2    
インターネット接続テレビ,114    ,7.0    ,7.9    ,13.2    ,12.3    ,17.5    ,13.2    ,18.4    ,10.5    ,13.91    ,2.1    
利用している（計）,3142    ,9.2    ,10.8    ,13.4    ,12.4    ,13.6    ,12.3    ,13.9    ,14.4    ,13.75    ,2.2    
いずれも利用していない,299    ,26.4    ,19.1    ,16.7    ,11.4    ,14.4    ,8.0    ,2.7    ,1.3    ,12.10    ,1.9    
Ａスマートフォン（計）,1678    ,2.9    ,4.4    ,6.7    ,9.2    ,12.0    ,15.9    ,24.1    ,24.8    ,14.91    ,1.9    
Ｂ携帯電話（計）,694    ,17.3    ,17.6    ,20.9    ,14.1    ,14.7    ,8.5    ,2.6    ,4.3    ,12.49    ,1.9    
Ｃパソコン（計）,1202    ,6.3    ,8.9    ,13.1    ,11.4    ,13.6    ,14.1    ,15.2    ,17.2    ,14.07    ,2.2    
Ｄタブレット（計）,666    ,8.9    ,14.0    ,15.2    ,17.4    ,18.0    ,12.0    ,8.1    ,6.5    ,13.23    ,2.0    
Ｅ携帯音楽プレイヤー,875    ,2.2    ,4.2    ,10.4    ,12.6    ,18.3    ,15.8    ,19.1    ,17.5    ,14.52    ,1.9    
Ｆゲーム機（計）,1679    ,12.4    ,14.8    ,16.7    ,14.2    ,12.7    ,9.7    ,9.9    ,9.5    ,13.16    ,2.2    
Ｇインターネット接続テレビ,114    ,7.0    ,7.9    ,13.2    ,12.3    ,17.5    ,13.2    ,18.4    ,10.5    ,13.91    ,2.1    
Ａ・Ｂスマートフォン・携帯電話（計）,2285    ,6.9    ,8.1    ,10.4    ,10.5    ,12.6    ,13.8    ,18.3    ,19.4    ,14.26    ,2.2    
Ａ・Ｂ機能限定や子供向け（計）,367    ,28.9    ,25.6    ,22.1    ,10.6    ,8.2    ,1.6    ,1.9    ,1.1    ,11.62    ,1.6    
Ａ・Ｂ機能限定や子供向け以外（計）,1966    ,3.0    ,5.2    ,8.2    ,10.6    ,13.5    ,15.9    ,21.1    ,22.4    ,14.71    ,2.0    
【全数】Ｑ２〔ネット利用状況（ネット利用まとめ）〕,,,,,,,,,,,
スマートフォン,1475    ,1.4    ,2.9    ,5.1    ,8.5    ,12.2    ,16.5    ,26.2    ,27.1    ,15.17    ,1.7    
格安スマートフォン,19    ,-,5.3    ,10.5    ,21.1    ,21.1    ,21.1    ,15.8    ,5.3    ,14.11    ,1.6    
機能限定・子供向けスマートフォン,28    ,17.9    ,10.7    ,10.7    ,21.4    ,10.7    ,7.1    ,17.9    ,3.6    ,13.07    ,2.2    
契約切れスマートフォン,73    ,8.2    ,15.1    ,17.8    ,15.1    ,16.4    ,13.7    ,5.5    ,8.2    ,13.21    ,2.0    
携帯電話,120    ,6.7    ,5.0    ,14.2    ,15.0    ,21.7    ,15.0    ,10.8    ,11.7    ,13.87    ,2.0    
機能限定電話・子ども向け携帯電話,30    ,30.0    ,16.7    ,16.7    ,13.3    ,16.7    ,3.3    ,3.3    ,-,11.93    ,1.8    
ノートパソコン,793    ,6.3    ,8.3    ,13.2    ,11.9    ,14.6    ,14.1    ,14.0    ,17.5    ,14.06    ,2.2    
デスクトップパソコン,380    ,5.8    ,10.5    ,12.1    ,11.3    ,11.8    ,13.9    ,16.6    ,17.9    ,14.11    ,2.2    
タブレット,434    ,7.4    ,12.0    ,15.4    ,16.8    ,17.5    ,12.7    ,9.9    ,8.3    ,13.44    ,2.0    
学習用タブレット,139    ,7.9    ,14.4    ,10.8    ,26.6    ,22.3    ,10.1    ,7.9    ,-,13.03    ,1.7    
子供向け娯楽用タブレット,6    ,33.3    ,33.3    ,-,16.7    ,16.7    ,-,-,-,11.50    ,1.6    
携帯音楽プレイヤー,327    ,1.2    ,3.7    ,9.8    ,14.1    ,22.9    ,17.1    ,17.1    ,14.1    ,14.44    ,1.7    
携帯ゲーム機,638    ,11.6    ,17.2    ,18.0    ,16.3    ,13.2    ,7.7    ,8.2    ,7.8    ,12.97    ,2.1    
据置型ゲーム機,266    ,9.4    ,11.7    ,14.3    ,13.5    ,16.5    ,10.9    ,13.2    ,10.5    ,13.54    ,2.2    
インターネット接続テレビ,58    ,1.7    ,8.6    ,15.5    ,15.5    ,15.5    ,19.0    ,12.1    ,12.1    ,14.00    ,1.9    
