,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,
〔回答票８〕Ｑ８　あなたは、青少年に不適切（ふてきせつ）なサイト（出会い系サイトやアダルトサイトなど）やネットいじめの問題などインターネットの危険性（きけんせい）について、これまで説明を受けたり学んだりしたことがありますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,
,総数,学校で教えてもらった,親（保護者）から教えてもらった,兄弟・姉妹から教えてもらった,機器の購入時に販売員より説明された,機器の購入時に資料をもらった,友だちから教えてもらった,テレビや本・パンフレットで知った,インターネットで知った,その他,説明を受けたり学んだりした（計）,教えてもらったり学んだりしない,わからない,回答計
京都府,72    ,80.6    ,40.3    ,4.2    ,1.4    ,1.4    ,5.6    ,23.6    ,2.8    ,1.4    ,86.1    ,8.3    ,5.6    ,175.0    
大阪府,233    ,85.8    ,44.6    ,3.4    ,6.9    ,0.9    ,7.7    ,11.6    ,8.6    ,0.9    ,90.1    ,7.7    ,2.1    ,180.3    
兵庫県,147    ,83.0    ,45.6    ,5.4    ,4.1    ,0.7    ,7.5    ,12.2    ,6.8    ,-,90.5    ,7.5    ,2.0    ,174.8    
奈良県,31    ,74.2    ,38.7    ,3.2    ,3.2    ,-,9.7    ,16.1    ,6.5    ,-,80.6    ,19.4    ,-,171.0    
和歌山県,27    ,85.2    ,18.5    ,-,3.7    ,3.7    ,-,3.7    ,-,-,85.2    ,14.8    ,-,129.6    
鳥取県,14    ,78.6    ,50.0    ,-,-,-,-,14.3    ,-,-,78.6    ,14.3    ,7.1    ,164.3    
島根県,21    ,81.0    ,42.9    ,4.8    ,4.8    ,-,9.5    ,28.6    ,-,-,90.5    ,4.8    ,4.8    ,181.0    
岡山県,65    ,89.2    ,44.6    ,9.2    ,4.6    ,1.5    ,10.8    ,27.7    ,4.6    ,-,95.4    ,4.6    ,-,196.9    
広島県,72    ,87.5    ,52.8    ,1.4    ,4.2    ,1.4    ,12.5    ,22.2    ,4.2    ,-,94.4    ,5.6    ,-,191.7    
山口県,45    ,86.7    ,26.7    ,4.4    ,11.1    ,6.7    ,15.6    ,8.9    ,11.1    ,-,91.1    ,8.9    ,-,180.0    
徳島県,26    ,88.5    ,42.3    ,7.7    ,3.8    ,-,15.4    ,30.8    ,15.4    ,-,96.2    ,3.8    ,-,207.7    
香川県,33    ,84.8    ,21.2    ,3.0    ,-,-,9.1    ,9.1    ,12.1    ,-,87.9    ,6.1    ,6.1    ,151.5    
愛媛県,34    ,88.2    ,26.5    ,8.8    ,2.9    ,-,14.7    ,17.6    ,5.9    ,-,91.2    ,8.8    ,-,173.5    
高知県,16    ,87.5    ,50.0    ,-,6.3    ,-,-,25.0    ,6.3    ,-,93.8    ,6.3    ,-,181.3    
福岡県,155    ,92.9    ,40.0    ,4.5    ,2.6    ,1.9    ,11.6    ,15.5    ,1.9    ,-,95.5    ,4.5    ,-,175.5    
佐賀県,20    ,90.0    ,40.0    ,-,5.0    ,-,20.0    ,25.0    ,10.0    ,-,90.0    ,5.0    ,5.0    ,200.0    
長崎県,44    ,90.9    ,22.7    ,2.3    ,4.5    ,2.3    ,18.2    ,20.5    ,-,-,90.9    ,9.1    ,-,170.5    
熊本県,43    ,93.0    ,18.6    ,2.3    ,2.3    ,-,14.0    ,16.3    ,4.7    ,-,95.3    ,4.7    ,-,155.8    
大分県,31    ,77.4    ,35.5    ,9.7    ,-,-,3.2    ,25.8    ,6.5    ,-,90.3    ,6.5    ,3.2    ,167.7    
宮崎県,40    ,87.5    ,30.0    ,7.5    ,5.0    ,2.5    ,7.5    ,10.0    ,10.0    ,-,87.5    ,10.0    ,2.5    ,172.5    
鹿児島県,33    ,97.0    ,33.3    ,3.0    ,-,3.0    ,3.0    ,9.1    ,6.1    ,-,97.0    ,3.0    ,-,157.6    
沖縄県,47    ,87.2    ,40.4    ,2.1    ,4.3    ,4.3    ,10.6    ,14.9    ,10.6    ,-,91.5    ,6.4    ,2.1    ,183.0    
Ｑ１〔機器の利用状況〕,,,,,,,,,,,,,,
スマートフォン,1541    ,92.1    ,37.0    ,3.7    ,9.5    ,4.7    ,12.8    ,18.5    ,10.3    ,0.2    ,95.1    ,4.2    ,0.7    ,193.6    
格安スマートフォン,22    ,90.9    ,27.3    ,-,4.5    ,4.5    ,4.5    ,9.1    ,4.5    ,-,90.9    ,9.1    ,-,154.5    
機能限定・子供向けスマートフォン,60    ,76.7    ,48.3    ,6.7    ,6.7    ,6.7    ,10.0    ,15.0    ,8.3    ,-,86.7    ,10.0    ,3.3    ,191.7    
契約切れスマートフォン,100    ,81.0    ,40.0    ,5.0    ,3.0    ,1.0    ,9.0    ,16.0    ,9.0    ,-,89.0    ,8.0    ,3.0    ,175.0    
携帯電話,392    ,89.0    ,47.4    ,3.8    ,3.8    ,4.1    ,11.0    ,18.1    ,6.9    ,0.8    ,91.8    ,7.1    ,1.0    ,193.1    
