,,,,,,,,
＜全員に＞,,,,,,,,
Ｆ１・Ｆ３〔性・学校種別〕,,,,,,,,
,,,,,,,,
,,,,,,,,
,青少年分析軸,,,,,,,
,総数,小学生男子,女子,中学生男子,女子,高校生男子,女子,その他
＊＊【　総　数　】＊＊,3441    ,15.5    ,15.9    ,19.0    ,19.6    ,14.3    ,15.0    ,0.7    
機能限定・子供向けスマートフォン,28    ,10.7    ,25.0    ,7.1    ,28.6    ,14.3    ,14.3    ,-
契約切れスマートフォン,73    ,17.8    ,17.8    ,27.4    ,23.3    ,6.8    ,6.8    ,-
携帯電話,120    ,5.8    ,14.2    ,15.0    ,40.0    ,10.0    ,14.2    ,0.8    
機能限定電話・子ども向け携帯電話,30    ,26.7    ,33.3    ,23.3    ,13.3    ,-,3.3    ,-
ノートパソコン,793    ,12.9    ,10.8    ,19.5    ,20.8    ,15.9    ,19.8    ,0.3    
デスクトップパソコン,380    ,11.1    ,11.6    ,19.5    ,17.9    ,16.1    ,23.4    ,0.5    
タブレット,434    ,17.5    ,12.9    ,25.1    ,23.3    ,9.9    ,11.1    ,0.2    
学習用タブレット,139    ,10.8    ,13.7    ,29.5    ,35.3    ,4.3    ,6.5    ,-
子供向け娯楽用タブレット,6    ,66.7    ,-,16.7    ,16.7    ,-,-,-
携帯音楽プレイヤー,327    ,4.0    ,6.1    ,27.5    ,27.2    ,17.4    ,16.8    ,0.9    
携帯ゲーム機,638    ,23.8    ,18.3    ,26.8    ,12.9    ,11.8    ,5.6    ,0.8    
据置型ゲーム機,266    ,19.2    ,11.7    ,32.0    ,10.5    ,18.4    ,7.5    ,0.8    
インターネット接続テレビ,58    ,6.9    ,12.1    ,29.3    ,22.4    ,10.3    ,19.0    ,-
インターネット利用（計）,2615    ,11.3    ,10.6    ,19.4    ,21.0    ,17.7    ,19.2    ,0.9    
インターネット非利用,527    ,30.0    ,34.0    ,15.2    ,15.4    ,3.0    ,2.1    ,0.4    
モバイル機器（計）,2548    ,11.1    ,10.3    ,19.3    ,20.8    ,18.0    ,19.6    ,0.9    
据置型機器（計）,611    ,13.9    ,11.8    ,23.7    ,15.7    ,16.4    ,18.0    ,0.5    
Ａスマートフォン（計）,1573    ,3.9    ,4.7    ,14.9    ,18.8    ,27.1    ,29.3    ,1.3    
Ｂ携帯電話（計）,150    ,10.0    ,18.0    ,16.7    ,34.7    ,8.0    ,12.0    ,0.7    
Ｃパソコン（計）,1129    ,12.4    ,11.2    ,19.5    ,19.8    ,16.1    ,20.6    ,0.4    
Ｄタブレット（計）,562    ,16.0    ,13.3    ,25.8    ,26.3    ,8.5    ,9.8    ,0.2    
Ｅ携帯音楽プレイヤー,327    ,4.0    ,6.1    ,27.5    ,27.2    ,17.4    ,16.8    ,0.9    
Ｆゲーム機（計）,719    ,22.1    ,17.0    ,28.1    ,13.1    ,12.8    ,6.3    ,0.7    
Ｇインターネット接続テレビ,58    ,6.9    ,12.1    ,29.3    ,22.4    ,10.3    ,19.0    ,-
Ａ・Ｂスマートフォン・携帯電話（計）,1704    ,4.3    ,5.6    ,15.1    ,20.0    ,25.7    ,28.1    ,1.3    
Ａ・Ｂ機能限定や子供向け（計）,58    ,19.0    ,29.3    ,15.5    ,20.7    ,6.9    ,8.6    ,-
Ａ・Ｂ機能限定や子供向け以外（計）,1656    ,3.9    ,4.8    ,15.1    ,19.9    ,26.3    ,28.6    ,1.3    
非該当,299    ,26.8    ,30.4    ,22.4    ,15.4    ,3.7    ,1.3    ,-
【全数】Ｑ２〔ネット利用状況（Ａ１スマホ～Ｇ１インターネット接続テレビ計）〕,,,,,,,,
使っている（計）,2615    ,11.3    ,10.6    ,19.4    ,21.0    ,17.7    ,19.2    ,0.9    
使える機種・設定で、使っていない（計）,923    ,18.7    ,15.7    ,20.7    ,19.7    ,13.9    ,10.7    ,0.5    
使えない機種・設定で、使っていない（計）,932    ,20.1    ,22.0    ,14.6    ,19.5    ,10.0    ,13.7    ,0.1    
わからない（計）,285    ,17.9    ,20.0    ,20.4    ,20.4    ,11.9    ,8.8    ,0.7    
非該当,299    ,26.8    ,30.4    ,22.4    ,15.4    ,3.7    ,1.3    ,-
【全数】Ｑ２〔ネット利用状況（Ａ１スマホ）〕,,,,,,,,
使っている,1475    ,3.1    ,3.6    ,14.5    ,18.2    ,28.5    ,30.8    ,1.4    
使える機種・設定で、使っていない,45    ,24.4    ,15.6    ,6.7    ,11.1    ,22.2    ,17.8    ,2.2    
使えない機種・設定で、使っていない,9    ,44.4    ,11.1    ,-,11.1    ,11.1    ,22.2    ,-
わからない,12    ,8.3    ,33.3    ,8.3    ,25.0    ,8.3    ,8.3    ,8.3    
非該当,1900    ,24.9    ,25.3    ,22.9    ,20.9    ,3.1    ,2.7    ,0.2    
【全数】Ｑ２〔ネット利用状況（Ａ２格安スマホ）〕,,,,,,,,
使っている,19    ,10.5    ,5.3    ,26.3    ,31.6    ,15.8    ,5.3    ,5.3    
使える機種・設定で、使っていない,2    ,-,-,-,50.0    ,50.0    ,-,-
使えない機種・設定で、使っていない,1    ,-,-,100.0    ,-,-,-,-
わからない,-,-,-,-,-,-,-,-
非該当,3419    ,15.6    ,15.9    ,19.0    ,19.5    ,14.2    ,15.1    ,0.7    
【全数】Ｑ２〔ネット利用状況（Ａ３子供スマホ）〕,,,,,,,,
使っている,28    ,10.7    ,25.0    ,7.1    ,28.6    ,14.3    ,14.3    ,-
使える機種・設定で、使っていない,6    ,16.7    ,50.0    ,33.3    ,-,-,-,-
使えない機種・設定で、使っていない,16    ,12.5    ,43.8    ,37.5    ,6.3    ,-,-,-
わからない,10    ,30.0    ,40.0    ,20.0    ,10.0    ,-,-,-
非該当,3381    ,15.5    ,15.5    ,19.0    ,19.7    ,14.4    ,15.1    ,0.7    
【全数】Ｑ２〔ネット利用状況（Ａ４契約切れスマホ）〕,,,,,,,,
使っている,73    ,17.8    ,17.8    ,27.4    ,23.3    ,6.8    ,6.8    ,-
使える機種・設定で、使っていない,12    ,16.7    ,8.3    ,25.0    ,-,41.7    ,8.3    ,-
使えない機種・設定で、使っていない,10    ,-,10.0    ,10.0    ,40.0    ,20.0    ,20.0    ,-
わからない,5    ,-,20.0    ,40.0    ,40.0    ,-,-,-
非該当,3341    ,15.5    ,15.9    ,18.8    ,19.5    ,14.3    ,15.2    ,0.7    
【全数】Ｑ２〔ネット利用状況（Ｂ１携帯電話）〕,,,,,,,,
使っている,120    ,5.8    ,14.2    ,15.0    ,40.0    ,10.0    ,14.2    ,0.8    
使える機種・設定で、使っていない,128    ,12.5    ,20.3    ,27.3    ,29.7    ,5.5    ,3.9    ,0.8    
使えない機種・設定で、使っていない,120    ,11.7    ,22.5    ,24.2    ,37.5    ,1.7    ,2.5    ,-
わからない,24    ,16.7    ,25.0    ,25.0    ,12.5    ,16.7    ,4.2    ,-
非該当,3049    ,16.2    ,15.4    ,18.6    ,17.7    ,15.3    ,16.1    ,0.8    
【全数】Ｑ２〔ネット利用状況（Ｂ２子ども向け携帯等）〕,,,,,,,,
使っている,30    ,26.7    ,33.3    ,23.3    ,13.3    ,-,3.3    ,-
使える機種・設定で、使っていない,37    ,27.0    ,37.8    ,18.9    ,16.2    ,-,-,-
使えない機種・設定で、使っていない,214    ,37.9    ,43.5    ,6.1    ,11.2    ,-,1.4    ,-
わからない,26    ,26.9    ,50.0    ,3.8    ,15.4    ,3.8    ,-,-
非該当,3134    ,13.7    ,13.3    ,20.0    ,20.3    ,15.6    ,16.3    ,0.8    
【全数】Ｑ２〔ネット利用状況（Ｃ１ノートＰＣ）〕,,,,,,,,
使っている,793    ,12.9    ,10.8    ,19.5    ,20.8    ,15.9    ,19.8    ,0.3    
使える機種・設定で、使っていない,46    ,15.2    ,6.5    ,17.4    ,23.9    ,21.7    ,15.2    ,-
使えない機種・設定で、使っていない,4    ,-,25.0    ,25.0    ,-,25.0    ,25.0    ,-
わからない,3    ,66.7    ,33.3    ,-,-,-,-,-
非該当,2595    ,16.3    ,17.5    ,18.9    ,19.2    ,13.6    ,13.5    ,0.9    
【全数】Ｑ２〔ネット利用状況（Ｃ２デスクトップＰＣ）〕,,,,,,,,
使っている,380    ,11.1    ,11.6    ,19.5    ,17.9    ,16.1    ,23.4    ,0.5    
使える機種・設定で、使っていない,25    ,4.0    ,8.0    ,20.0    ,28.0    ,32.0    ,8.0    ,-
使えない機種・設定で、使っていない,2    ,-,-,50.0    ,-,-,50.0    ,-
わからない,2    ,50.0    ,-,-,-,50.0    ,-,-
非該当,3032    ,16.2    ,16.5    ,18.9    ,19.8    ,13.9    ,14.0    ,0.8    
【全数】Ｑ２〔ネット利用状況（Ｄ１タブレット）〕,,,,,,,,
使っている,434    ,17.5    ,12.9    ,25.1    ,23.3    ,9.9    ,11.1    ,0.2    
使える機種・設定で、使っていない,32    ,25.0    ,12.5    ,15.6    ,21.9    ,9.4    ,15.6    ,-
使えない機種・設定で、使っていない,5    ,40.0    ,40.0    ,-,-,20.0    ,-,-
わからない,12    ,8.3    ,41.7    ,16.7    ,25.0    ,-,8.3    ,-
非該当,2958    ,15.1    ,16.2    ,18.2    ,19.1    ,15.0    ,15.6    ,0.8    
【全数】Ｑ２〔ネット利用状況（Ｄ２学習用タブレット）〕,,,,,,,,
使っている,139    ,10.8    ,13.7    ,29.5    ,35.3    ,4.3    ,6.5    ,-
使える機種・設定で、使っていない,33    ,9.1    ,15.2    ,27.3    ,42.4    ,3.0    ,3.0    ,-
使えない機種・設定で、使っていない,22    ,45.5    ,36.4    ,9.1    ,9.1    ,-,-,-
わからない,8    ,12.5    ,62.5    ,12.5    ,12.5    ,-,-,-
非該当,3239    ,15.6    ,15.7    ,18.6    ,18.8    ,14.9    ,15.6    ,0.8    
【全数】Ｑ２〔ネット利用状況（Ｄ３娯楽用タブレット）〕,,,,,,,,
使っている,6    ,66.7    ,-,16.7    ,16.7    ,-,-,-
使える機種・設定で、使っていない,1    ,-,-,-,100.0    ,-,-,-
使えない機種・設定で、使っていない,2    ,-,100.0    ,-,-,-,-,-
わからない,-,-,-,-,-,-,-,-
非該当,3432    ,15.4    ,15.9    ,19.0    ,19.6    ,14.3    ,15.0    ,0.7    
【全数】Ｑ２〔ネット利用状況（Ｅ１携帯音楽プレイヤー）〕,,,,,,,,
使っている,327    ,4.0    ,6.1    ,27.5    ,27.2    ,17.4    ,16.8    ,0.9    
使える機種・設定で、使っていない,162    ,4.3    ,7.4    ,15.4    ,27.8    ,19.8    ,24.1    ,1.2    
使えない機種・設定で、使っていない,328    ,4.3    ,9.8    ,15.2    ,26.2    ,15.9    ,28.4    ,0.3    
わからない,58    ,6.9    ,6.9    ,20.7    ,25.9    ,15.5    ,20.7    ,3.4    
非該当,2566    ,19.3    ,18.6    ,18.6    ,17.1    ,13.3    ,12.4    ,0.7    
【全数】Ｑ２〔ネット利用状況（Ｆ１携帯ゲーム）〕,,,,,,,,
使っている,638    ,23.8    ,18.3    ,26.8    ,12.9    ,11.8    ,5.6    ,0.8    
使える機種・設定で、使っていない,462    ,20.6    ,17.1    ,20.8    ,16.9    ,15.4    ,8.7    ,0.6    
使えない機種・設定で、使っていない,298    ,22.5    ,18.8    ,16.4    ,16.1    ,15.8    ,10.4    ,-
わからない,97    ,16.5    ,20.6    ,23.7    ,19.6    ,11.3    ,8.2    ,-
非該当,1946    ,10.5    ,14.1    ,16.2    ,23.0    ,14.7    ,20.6    ,0.9    
【全数】Ｑ２〔ネット利用状況（Ｆ２据置型ゲーム）〕,,,,,,,,
使っている,266    ,19.2    ,11.7    ,32.0    ,10.5    ,18.4    ,7.5    ,0.8    
使える機種・設定で、使っていない,327    ,23.2    ,14.7    ,24.2    ,16.5    ,14.4    ,7.0    ,-
使えない機種・設定で、使っていない,205    ,28.8    ,18.0    ,17.6    ,15.1    ,9.8    ,10.7    ,-
わからない,93    ,22.6    ,18.3    ,20.4    ,20.4    ,14.0    ,4.3    ,-
非該当,2550    ,12.8    ,16.2    ,17.1    ,21.3    ,14.2    ,17.5    ,0.9    
