,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票１〕Ｑ１　あなたは、下記の機器を利用していますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,利用している（計）,いずれも利用していない,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）,回答計
  わからない,27    ,33.3    ,-,7.4    ,7.4    ,-,7.4    ,7.4    ,11.1    ,25.9    ,3.7    ,-,3.7    ,40.7    ,14.8    ,7.4    ,100.0    ,-,48.1    ,7.4    ,18.5    ,29.6    ,3.7    ,44.4    ,7.4    ,55.6    ,14.8    ,40.7    ,170.4    
小学生（計）,572    ,18.9    ,0.5    ,3.3    ,5.2    ,12.2    ,21.9    ,33.7    ,15.2    ,24.1    ,8.6    ,0.7    ,13.6    ,70.6    ,41.6    ,4.0    ,100.0    ,-,27.1    ,33.9    ,47.6    ,31.8    ,13.6    ,74.7    ,4.0    ,54.7    ,25.2    ,33.6    ,274.3    
  ルールを決めている（計）,424    ,20.0    ,0.5    ,3.5    ,5.4    ,12.3    ,22.4    ,35.6    ,15.1    ,26.2    ,9.2    ,0.9    ,14.6    ,71.5    ,41.7    ,4.2    ,100.0    ,-,28.3    ,34.4    ,49.5    ,34.4    ,14.6    ,75.9    ,4.2    ,55.4    ,25.9    ,34.4    ,283.3    
  特にルールを決めていない,135    ,16.3    ,0.7    ,1.5    ,4.4    ,13.3    ,20.7    ,31.1    ,15.6    ,17.8    ,6.7    ,-,11.9    ,70.4    ,43.0    ,2.2    ,100.0    ,-,23.0    ,34.1    ,44.4    ,23.7    ,11.9    ,72.6    ,2.2    ,53.3    ,22.2    ,32.6    ,255.6    
  わからない,13    ,7.7    ,-,15.4    ,7.7    ,-,15.4    ,-,15.4    ,23.1    ,7.7    ,-,-,46.2    ,23.1    ,15.4    ,100.0    ,-,30.8    ,15.4    ,15.4    ,30.8    ,-,53.8    ,15.4    ,46.2    ,30.8    ,15.4    ,176.9    
中学生（計）,1055    ,46.2    ,1.1    ,1.8    ,4.5    ,16.7    ,4.6    ,31.3    ,14.2    ,20.8    ,11.0    ,0.3    ,35.3    ,46.3    ,29.5    ,4.7    ,100.0    ,-,51.4    ,21.1    ,43.5    ,30.5    ,35.3    ,52.9    ,4.7    ,68.9    ,6.4    ,64.0    ,268.2    
  ルールを決めている（計）,731    ,46.8    ,1.2    ,1.9    ,3.7    ,16.8    ,4.8    ,33.2    ,15.3    ,21.6    ,12.6    ,0.4    ,36.3    ,45.6    ,30.6    ,4.7    ,100.0    ,-,51.6    ,21.3    ,46.2    ,33.1    ,36.3    ,52.3    ,4.7    ,69.4    ,6.7    ,64.2    ,275.5    
  特にルールを決めていない,315    ,45.1    ,1.0    ,1.6    ,6.0    ,16.8    ,4.4    ,27.3    ,12.1    ,18.4    ,7.6    ,-,33.7    ,47.9    ,27.6    ,5.1    ,100.0    ,-,51.1    ,21.3    ,38.1    ,24.4    ,33.7    ,54.6    ,5.1    ,68.6    ,6.0    ,64.1    ,254.6    
  わからない,9    ,33.3    ,-,-,11.1    ,-,-,11.1    ,-,33.3    ,-,-,11.1    ,44.4    ,-,-,100.0    ,-,44.4    ,-,11.1    ,33.3    ,11.1    ,44.4    ,-,44.4    ,-,44.4    ,144.4    
高校生（計）,965    ,91.0    ,0.4    ,0.8    ,2.1    ,4.8    ,0.5    ,31.2    ,16.7    ,10.4    ,1.8    ,-,35.6    ,32.5    ,20.4    ,3.7    ,100.0    ,-,92.5    ,5.2    ,45.5    ,11.8    ,35.6    ,37.6    ,3.7    ,96.9    ,1.3    ,96.2    ,251.9    
  ルールを決めている（計）,488    ,90.4    ,0.6    ,1.4    ,1.8    ,4.5    ,0.8    ,34.4    ,18.2    ,10.9    ,2.5    ,-,37.1    ,34.0    ,24.2    ,4.1    ,100.0    ,-,92.2    ,5.3    ,50.8    ,12.7    ,37.1    ,40.0    ,4.1    ,96.7    ,2.3    ,95.5    ,265.0    
  特にルールを決めていない,472    ,91.5    ,0.2    ,0.2    ,2.3    ,5.1    ,0.2    ,28.0    ,15.0    ,9.7    ,1.1    ,-,34.5    ,31.1    ,16.5    ,3.4    ,100.0    ,-,92.8    ,5.1    ,40.0    ,10.8    ,34.5    ,35.4    ,3.4    ,97.0    ,0.4    ,96.8    ,239.0    
  わからない,5    ,100.0    ,-,-,-,-,-,20.0    ,20.0    ,20.0    ,-,-,-,20.0    ,20.0    ,-,100.0    ,-,100.0    ,-,40.0    ,20.0    ,-,20.0    ,-,100.0    ,-,100.0    ,200.0    
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  インターネット利用（計）,2615    ,57.1    ,0.8    ,1.8    ,3.7    ,11.2    ,6.8    ,31.6    ,15.3    ,17.5    ,7.0    ,0.3    ,30.6    ,46.4    ,28.6    ,4.2    ,100.0    ,-,61.6    ,17.9    ,44.9    ,23.7    ,30.6    ,51.9    ,4.2    ,76.4    ,8.6    ,69.5    ,262.9    
  インターネット非利用（含わからない）,527    ,9.1    ,0.4    ,2.7    ,0.6    ,18.6    ,24.3    ,3.8    ,1.7    ,4.7    ,3.8    ,0.4    ,14.0    ,53.3    ,27.1    ,0.9    ,100.0    ,-,12.7    ,42.7    ,5.3    ,8.9    ,14.0    ,61.3    ,0.9    ,54.5    ,26.9    ,28.1    ,165.5    
小学生（計）,909    ,13.9    ,0.3    ,3.3    ,3.4    ,12.9    ,26.0    ,22.2    ,9.9    ,16.9    ,7.3    ,0.7    ,11.7    ,66.2    ,37.4    ,2.9    ,100.0    ,-,20.4    ,38.7    ,31.2    ,23.9    ,11.7    ,71.7    ,2.9    ,54.8    ,29.3    ,28.3    ,234.9    
  インターネット利用（計）,572    ,18.9    ,0.5    ,3.3    ,5.2    ,12.2    ,21.9    ,33.7    ,15.2    ,24.1    ,8.6    ,0.7    ,13.6    ,70.6    ,41.6    ,4.0    ,100.0    ,-,27.1    ,33.9    ,47.6    ,31.8    ,13.6    ,74.7    ,4.0    ,54.7    ,25.2    ,33.6    ,274.3    
  インターネット非利用（含わからない）,337    ,5.3    ,-,3.3    ,0.3    ,13.9    ,32.9    ,2.7    ,0.9    ,4.7    ,5.0    ,0.6    ,8.3    ,58.8    ,30.3    ,0.9    ,100.0    ,-,8.9    ,46.9    ,3.6    ,10.4    ,8.3    ,66.8    ,0.9    ,54.9    ,36.2    ,19.3    ,168.0    
中学生（計）,1216    ,40.8    ,1.1    ,1.8    ,4.0    ,18.3    ,5.4    ,28.0    ,12.7    ,18.7    ,9.8    ,0.2    ,33.9    ,46.5    ,28.9    ,4.2    ,100.0    ,-,45.8    ,23.4    ,38.9    ,27.4    ,33.9    ,53.5    ,4.2    ,66.0    ,7.2    ,60.2    ,254.3    
  インターネット利用（計）,1055    ,46.2    ,1.1    ,1.8    ,4.5    ,16.7    ,4.6    ,31.3    ,14.2    ,20.8    ,11.0    ,0.3    ,35.3    ,46.3    ,29.5    ,4.7    ,100.0    ,-,51.4    ,21.1    ,43.5    ,30.5    ,35.3    ,52.9    ,4.7    ,68.9    ,6.4    ,64.0    ,268.2    
  インターネット非利用（含わからない）,161    ,5.6    ,0.6    ,1.9    ,1.2    ,28.6    ,10.6    ,6.2    ,3.1    ,5.0    ,1.9    ,-,24.8    ,48.4    ,24.8    ,0.6    ,100.0    ,-,9.3    ,38.5    ,8.7    ,6.8    ,24.8    ,57.8    ,0.6    ,47.2    ,12.4    ,35.4    ,163.4    
高校生（計）,992    ,90.4    ,0.5    ,0.8    ,2.0    ,5.1    ,0.5    ,30.4    ,16.3    ,10.2    ,1.7    ,-,35.2    ,32.2    ,20.0    ,3.7    ,100.0    ,-,92.0    ,5.5    ,44.5    ,11.6    ,35.2    ,37.1    ,3.7    ,96.7    ,1.3    ,96.0    ,249.1    
