,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票１〕Ｑ１　あなたは、下記の機器を利用していますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,利用している（計）,いずれも利用していない,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）,回答計
高校生（計）,1007    ,89.1    ,0.5    ,0.8    ,2.0    ,5.1    ,0.5    ,30.0    ,16.1    ,10.0    ,1.7    ,-,34.7    ,31.7    ,19.7    ,3.7    ,98.5    ,1.5    ,90.7    ,5.5    ,43.8    ,11.4    ,34.7    ,36.5    ,3.7    ,95.2    ,1.3    ,94.5    ,246.9    
  １人以上いる,579    ,89.3    ,0.3    ,1.2    ,2.2    ,5.0    ,0.5    ,26.9    ,16.9    ,9.2    ,1.4    ,-,32.0    ,30.7    ,17.1    ,3.8    ,97.8    ,2.2    ,90.8    ,5.4    ,41.3    ,10.5    ,32.0    ,34.9    ,3.8    ,95.2    ,1.7    ,94.1    ,238.9    
  いない,428    ,88.8    ,0.7    ,0.2    ,1.6    ,5.1    ,0.5    ,34.1    ,15.0    ,11.2    ,2.1    ,-,38.3    ,32.9    ,23.1    ,3.5    ,99.5    ,0.5    ,90.4    ,5.6    ,47.2    ,12.6    ,38.3    ,38.8    ,3.5    ,95.3    ,0.7    ,95.1    ,257.7    
〔地域〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道・東北,430    ,41.9    ,0.5    ,2.1    ,1.4    ,6.7    ,5.6    ,23.3    ,12.3    ,11.4    ,4.2    ,0.7    ,26.3    ,48.1    ,26.5    ,2.1    ,90.0    ,10.0    ,44.7    ,12.3    ,34.4    ,16.0    ,26.3    ,54.0    ,2.1    ,55.6    ,7.7    ,48.8    ,223.0    
北関東,540    ,47.6    ,0.4    ,1.7    ,1.7    ,12.0    ,6.7    ,24.1    ,11.5    ,12.8    ,6.7    ,0.2    ,23.9    ,42.0    ,22.8    ,2.4    ,89.3    ,10.7    ,50.7    ,18.7    ,34.1    ,18.5    ,23.9    ,46.3    ,2.4    ,67.6    ,8.3    ,60.2    ,227.0    
南関東,485    ,47.4    ,1.2    ,2.9    ,3.1    ,16.5    ,11.8    ,26.0    ,12.8    ,17.1    ,6.2    ,0.2    ,27.6    ,45.4    ,27.4    ,5.8    ,94.4    ,5.6    ,53.0    ,28.0    ,37.5    ,22.1    ,27.6    ,51.1    ,5.8    ,78.1    ,14.6    ,65.6    ,256.9    
東海・北陸・信越,693    ,43.3    ,0.6    ,1.4    ,2.5    ,6.8    ,8.9    ,27.6    ,11.8    ,14.3    ,7.5    ,0.3    ,25.8    ,43.6    ,25.0    ,3.5    ,91.5    ,8.5    ,46.6    ,15.4    ,37.8    ,21.5    ,25.8    ,48.2    ,3.5    ,60.5    ,10.4    ,51.1    ,231.3    
近畿,554    ,45.5    ,0.7    ,1.8    ,5.2    ,14.8    ,10.3    ,25.6    ,12.6    ,14.6    ,5.6    ,0.2    ,27.8    ,49.1    ,32.7    ,4.3    ,95.3    ,4.7    ,52.0    ,25.1    ,35.6    ,20.0    ,27.8    ,55.1    ,4.3    ,73.3    ,12.1    ,62.8    ,255.6    
中国・四国,326    ,43.9    ,0.9    ,0.6    ,2.1    ,11.7    ,8.0    ,25.5    ,14.1    ,16.6    ,4.3    ,0.3    ,25.2    ,35.9    ,21.2    ,2.8    ,90.8    ,9.2    ,46.3    ,19.6    ,37.7    ,20.6    ,25.2    ,41.4    ,2.8    ,63.8    ,8.6    ,56.1    ,222.1    
九州・沖縄,413    ,43.3    ,0.2    ,1.5    ,4.1    ,12.3    ,10.9    ,17.9    ,8.2    ,11.6    ,5.1    ,-,20.3    ,36.3    ,23.7    ,1.7    ,86.4    ,13.6    ,46.7    ,22.8    ,25.7    ,15.3    ,20.3    ,42.4    ,1.7    ,65.1    ,12.3    ,55.2    ,210.9    
〔都市規模〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大都市（政令指定都市）,850    ,49.1    ,0.9    ,2.0    ,3.1    ,13.3    ,10.5    ,28.7    ,14.0    ,14.8    ,6.6    ,0.5    ,27.5    ,44.9    ,28.7    ,5.2    ,93.2    ,6.8    ,53.2    ,23.5    ,40.5    ,20.6    ,27.5    ,50.6    ,5.2    ,73.5    ,12.5    ,62.7    ,256.6    
人口２０万人以上の市,894    ,43.6    ,0.4    ,1.9    ,2.3    ,11.2    ,8.9    ,22.7    ,11.6    ,15.0    ,5.0    ,0.2    ,24.4    ,42.3    ,26.2    ,3.7    ,89.7    ,10.3    ,47.3    ,20.0    ,33.0    ,19.7    ,24.4    ,47.5    ,3.7    ,64.8    ,10.9    ,55.4    ,229.9    
人口１０万人以上の市,592    ,41.2    ,1.7    ,1.4    ,3.5    ,11.7    ,7.3    ,23.0    ,11.8    ,13.5    ,7.3    ,0.3    ,25.2    ,44.8    ,22.1    ,2.9    ,90.0    ,10.0    ,46.5    ,18.9    ,34.1    ,20.1    ,25.2    ,50.0    ,2.9    ,63.0    ,8.6    ,55.6    ,227.5    
人口１０万人未満の市,796    ,43.5    ,-,2.0    ,3.3    ,9.9    ,8.5    ,24.6    ,10.8    ,14.4    ,6.0    ,0.1    ,26.9    ,44.1    ,26.4    ,2.1    ,91.8    ,8.2    ,47.5    ,18.2    ,33.7    ,20.0    ,26.9    ,49.4    ,2.1    ,63.2    ,10.6    ,54.1    ,230.9    
郡部（町村）,309    ,46.6    ,-,0.6    ,1.9    ,10.0    ,8.7    ,21.7    ,9.7    ,9.1    ,3.2    ,-,19.4    ,38.5    ,23.3    ,1.0    ,91.9    ,8.1    ,48.5    ,18.8    ,30.1    ,12.0    ,19.4    ,43.7    ,1.0    ,66.3    ,9.4    ,57.6    ,201.9    
〔都道府県〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,162    ,44.4    ,-,1.2    ,1.2    ,7.4    ,4.9    ,21.0    ,19.1    ,13.0    ,6.8    ,1.2    ,25.3    ,48.8    ,25.3    ,2.5    ,88.3    ,11.7    ,46.9    ,12.3    ,39.5    ,21.0    ,25.3    ,54.3    ,2.5    ,58.6    ,6.2    ,52.5    ,234.0    
青森県,60    ,41.7    ,1.7    ,1.7    ,-,3.3    ,3.3    ,23.3    ,5.0    ,6.7    ,1.7    ,-,30.0    ,38.3    ,16.7    ,-,81.7    ,18.3    ,45.0    ,6.7    ,28.3    ,8.3    ,30.0    ,41.7    ,-,51.7    ,5.0    ,46.7    ,191.7    
岩手県,30    ,23.3    ,-,-,-,3.3    ,6.7    ,30.0    ,13.3    ,20.0    ,3.3    ,-,23.3    ,43.3    ,6.7    ,-,83.3    ,16.7    ,23.3    ,10.0    ,40.0    ,23.3    ,23.3    ,43.3    ,-,33.3    ,6.7    ,26.7    ,190.0    
宮城県,80    ,42.5    ,1.3    ,3.8    ,3.8    ,12.5    ,6.3    ,16.3    ,3.8    ,6.3    ,3.8    ,1.3    ,30.0    ,52.5    ,36.3    ,1.3    ,96.3    ,3.8    ,47.5    ,18.8    ,18.8    ,11.3    ,30.0    ,58.8    ,1.3    ,65.0    ,10.0    ,56.3    ,225.0    
秋田県,26    ,65.4    ,-,7.7    ,-,11.5    ,11.5    ,38.5    ,23.1    ,11.5    ,3.8    ,-,30.8    ,46.2    ,50.0    ,3.8    ,96.2    ,3.8    ,65.4    ,23.1    ,53.8    ,11.5    ,30.8    ,65.4    ,3.8    ,73.1    ,19.2    ,65.4    ,307.7    
山形県,29    ,37.9    ,-,-,-,3.4    ,3.4    ,17.2    ,10.3    ,13.8    ,-,-,37.9    ,48.3    ,27.6    ,-,93.1    ,6.9    ,37.9    ,6.9    ,27.6    ,13.8    ,37.9    ,58.6    ,-,44.8    ,3.4    ,41.4    ,206.9    
福島県,43    ,32.6    ,-,2.3    ,2.3    ,-,7.0    ,34.9    ,7.0    ,14.0    ,2.3    ,-,9.3    ,55.8    ,25.6    ,7.0    ,95.3    ,4.7    ,37.2    ,7.0    ,41.9    ,16.3    ,9.3    ,58.1    ,7.0    ,44.2    ,9.3    ,34.9    ,204.7    
茨城県,82    ,45.1    ,-,3.7    ,1.2    ,8.5    ,7.3    ,30.5    ,13.4    ,12.2    ,4.9    ,-,23.2    ,46.3    ,25.6    ,3.7    ,96.3    ,3.7    ,50.0    ,15.9    ,42.7    ,17.1    ,23.2    ,52.4    ,3.7    ,64.6    ,11.0    ,54.9    ,229.3    
栃木県,69    ,44.9    ,-,2.9    ,1.4    ,4.3    ,4.3    ,20.3    ,7.2    ,15.9    ,5.8    ,-,13.0    ,42.0    ,27.5    ,1.4    ,88.4    ,11.6    ,47.8    ,8.7    ,24.6    ,21.7    ,13.0    ,44.9    ,1.4    ,56.5    ,7.2    ,49.3    ,202.9    
群馬県,41    ,36.6    ,-,2.4    ,-,9.8    ,4.9    ,31.7    ,12.2    ,22.0    ,4.9    ,-,36.6    ,39.0    ,19.5    ,2.4    ,78.0    ,22.0    ,39.0    ,14.6    ,41.5    ,22.0    ,36.6    ,39.0    ,2.4    ,53.7    ,7.3    ,46.3    ,243.9    
埼玉県,174    ,47.1    ,0.6    ,1.1    ,4.0    ,12.1    ,5.2    ,19.0    ,12.6    ,10.3    ,7.5    ,0.6    ,20.7    ,39.1    ,19.5    ,2.9    ,84.5    ,15.5    ,51.7    ,17.2    ,30.5    ,17.2    ,20.7    ,43.7    ,2.9    ,66.1    ,6.3    ,61.5    ,217.8    
千葉県,174    ,52.9    ,0.6    ,0.6    ,-,17.2    ,9.2    ,25.9    ,10.9    ,12.1    ,7.5    ,-,28.7    ,43.7    ,23.6    ,1.7    ,93.7    ,6.3    ,54.0    ,26.4    ,35.6    ,18.4    ,28.7    ,48.3    ,1.7    ,78.2    ,9.8    ,69.0    ,240.8    
東京都,237    ,47.3    ,2.1    ,3.4    ,1.3    ,17.3    ,13.9    ,29.1    ,15.2    ,18.1    ,5.9    ,0.4    ,31.6    ,48.9    ,29.1    ,5.5    ,95.8    ,4.2    ,52.7    ,30.8    ,42.2    ,22.4    ,31.6    ,52.7    ,5.5    ,81.0    ,17.3    ,65.8    ,273.4    
神奈川県,207    ,46.9    ,0.5    ,2.9    ,5.3    ,17.4    ,10.1    ,22.7    ,11.1    ,18.4    ,6.3    ,-,28.0    ,45.9    ,28.5    ,6.3    ,94.7    ,5.3    ,53.1    ,27.5    ,33.3    ,23.7    ,28.0    ,53.1    ,6.3    ,76.8    ,13.0    ,66.2    ,255.6    
新潟県,66    ,36.4    ,1.5    ,-,1.5    ,6.1    ,6.1    ,24.2    ,9.1    ,13.6    ,9.1    ,-,27.3    ,54.5    ,21.2    ,1.5    ,86.4    ,13.6    ,37.9    ,10.6    ,31.8    ,21.2    ,27.3    ,56.1    ,1.5    ,47.0    ,6.1    ,42.4    ,225.8    
富山県,52    ,38.5    ,1.9    ,1.9    ,5.8    ,7.7    ,9.6    ,46.2    ,11.5    ,11.5    ,-,-,30.8    ,38.5    ,28.8    ,5.8    ,100.0    ,-,46.2    ,17.3    ,53.8    ,11.5    ,30.8    ,48.1    ,5.8    ,59.6    ,11.5    ,50.0    ,238.5    
石川県,28    ,53.6    ,-,-,-,7.1    ,7.1    ,17.9    ,17.9    ,28.6    ,3.6    ,-,32.1    ,50.0    ,28.6    ,3.6    ,96.4    ,3.6    ,53.6    ,14.3    ,35.7    ,32.1    ,32.1    ,53.6    ,3.6    ,67.9    ,7.1    ,60.7    ,253.6    
福井県,34    ,38.2    ,-,-,2.9    ,5.9    ,5.9    ,23.5    ,8.8    ,26.5    ,5.9    ,-,41.2    ,26.5    ,35.3    ,14.7    ,82.4    ,17.6    ,41.2    ,11.8    ,29.4    ,32.4    ,41.2    ,41.2    ,14.7    ,52.9    ,5.9    ,47.1    ,252.9    
山梨県,41    ,51.2    ,-,-,2.4    ,7.3    ,7.3    ,24.4    ,7.3    ,4.9    ,7.3    ,-,2.4    ,22.0    ,12.2    ,4.9    ,85.4    ,14.6    ,53.7    ,14.6    ,31.7    ,12.2    ,2.4    ,31.7    ,4.9    ,68.3    ,7.3    ,61.0    ,168.3    
長野県,58    ,31.0    ,-,5.2    ,1.7    ,6.9    ,8.6    ,20.7    ,13.8    ,13.8    ,5.2    ,1.7    ,37.9    ,53.4    ,29.3    ,3.4    ,86.2    ,13.8    ,36.2    ,13.8    ,34.5    ,19.0    ,37.9    ,58.6    ,3.4    ,48.3    ,13.8    ,39.7    ,246.6    
岐阜県,56    ,42.9    ,-,-,-,8.9    ,5.4    ,26.8    ,14.3    ,12.5    ,16.1    ,-,30.4    ,44.6    ,30.4    ,-,100.0    ,-,42.9    ,14.3    ,39.3    ,26.8    ,30.4    ,50.0    ,-,55.4    ,5.4    ,50.0    ,232.1    
静岡県,104    ,47.1    ,-,1.9    ,5.8    ,4.8    ,10.6    ,29.8    ,13.5    ,16.3    ,6.7    ,-,26.0    ,45.2    ,26.0    ,2.9    ,91.3    ,8.7    ,51.9    ,15.4    ,41.3    ,22.1    ,26.0    ,48.1    ,2.9    ,65.4    ,12.5    ,52.9    ,245.2    
愛知県,241    ,45.2    ,0.4    ,1.7    ,1.7    ,8.3    ,8.7    ,27.8    ,11.6    ,11.2    ,7.9    ,0.4    ,19.5    ,41.1    ,21.6    ,3.7    ,90.0    ,10.0    ,48.1    ,17.0    ,37.8    ,19.5    ,19.5    ,44.8    ,3.7    ,63.9    ,10.4    ,53.9    ,220.7    
三重県,54    ,51.9    ,1.9    ,-,1.9    ,1.9    ,16.7    ,24.1    ,7.4    ,14.8    ,9.3    ,-,16.7    ,38.9    ,20.4    ,-,96.3    ,3.7    ,55.6    ,18.5    ,31.5    ,24.1    ,16.7    ,42.6    ,-,72.2    ,16.7    ,57.4    ,209.3    
滋賀県,44    ,40.9    ,-,-,6.8    ,15.9    ,6.8    ,15.9    ,9.1    ,4.5    ,4.5    ,-,15.9    ,45.5    ,38.6    ,4.5    ,88.6    ,11.4    ,47.7    ,22.7    ,25.0    ,9.1    ,15.9    ,52.3    ,4.5    ,65.9    ,6.8    ,61.4    ,220.5    
京都府,72    ,40.3    ,-,1.4    ,2.8    ,19.4    ,8.3    ,31.9    ,8.3    ,16.7    ,2.8    ,-,25.0    ,48.6    ,30.6    ,2.8    ,97.2    ,2.8    ,44.4    ,27.8    ,36.1    ,19.4    ,25.0    ,54.2    ,2.8    ,70.8    ,9.7    ,61.1    ,241.7    
大阪府,233    ,48.9    ,0.9    ,2.6    ,5.6    ,15.9    ,10.7    ,23.6    ,13.7    ,14.6    ,7.7    ,-,27.5    ,47.6    ,29.6    ,6.0    ,95.7    ,4.3    ,56.7    ,26.6    ,34.8    ,21.9    ,27.5    ,53.2    ,6.0    ,79.8    ,13.3    ,67.8    ,259.2    
兵庫県,147    ,40.8    ,1.4    ,1.4    ,4.1    ,10.9    ,10.9    ,27.2    ,12.9    ,16.3    ,5.4    ,0.7    ,32.7    ,53.1    ,36.7    ,3.4    ,94.6    ,5.4    ,46.9    ,21.8    ,38.1    ,22.4    ,32.7    ,60.5    ,3.4    ,63.3    ,12.2    ,53.7    ,263.3    
奈良県,31    ,54.8    ,-,3.2    ,9.7    ,16.1    ,19.4    ,29.0    ,25.8    ,22.6    ,3.2    ,-,29.0    ,51.6    ,41.9    ,-,100.0    ,-,61.3    ,35.5    ,48.4    ,22.6    ,29.0    ,58.1    ,-,90.3    ,22.6    ,71.0    ,306.5    
和歌山県,27    ,51.9    ,-,-,7.4    ,11.1    ,3.7    ,29.6    ,3.7    ,7.4    ,-,-,29.6    ,44.4    ,22.2    ,3.7    ,96.3    ,3.7    ,55.6    ,14.8    ,29.6    ,7.4    ,29.6    ,44.4    ,3.7    ,70.4    ,3.7    ,66.7    ,218.5    
鳥取県,14    ,42.9    ,7.1    ,-,-,-,7.1    ,7.1    ,14.3    ,7.1    ,7.1    ,-,14.3    ,28.6    ,-,-,85.7    ,14.3    ,50.0    ,7.1    ,21.4    ,14.3    ,14.3    ,28.6    ,-,57.1    ,7.1    ,50.0    ,150.0    
島根県,21    ,52.4    ,4.8    ,-,-,-,4.8    ,4.8    ,-,4.8    ,4.8    ,-,9.5    ,14.3    ,-,4.8    ,81.0    ,19.0    ,57.1    ,4.8    ,4.8    ,9.5    ,9.5    ,14.3    ,4.8    ,61.9    ,4.8    ,57.1    ,123.8    
岡山県,65    ,44.6    ,-,1.5    ,1.5    ,15.4    ,10.8    ,33.8    ,18.5    ,26.2    ,7.7    ,-,35.4    ,40.0    ,32.3    ,6.2    ,98.5    ,1.5    ,46.2    ,26.2    ,47.7    ,30.8    ,35.4    ,52.3    ,6.2    ,70.8    ,12.3    ,60.0    ,275.4    
広島県,72    ,48.6    ,-,-,2.8    ,12.5    ,6.9    ,29.2    ,16.7    ,19.4    ,4.2    ,1.4    ,29.2    ,29.2    ,12.5    ,-,93.1    ,6.9    ,51.4    ,19.4    ,45.8    ,25.0    ,29.2    ,33.3    ,-,69.4    ,6.9    ,63.9    ,219.4    
山口県,45    ,33.3    ,2.2    ,-,-,6.7    ,8.9    ,15.6    ,20.0    ,11.1    ,2.2    ,-,28.9    ,33.3    ,15.6    ,-,82.2    ,17.8    ,35.6    ,15.6    ,35.6    ,13.3    ,28.9    ,35.6    ,-,51.1    ,8.9    ,42.2    ,195.6    
徳島県,26    ,26.9    ,-,-,3.8    ,38.5    ,3.8    ,26.9    ,15.4    ,19.2    ,-,-,23.1    ,50.0    ,34.6    ,-,88.5    ,11.5    ,26.9    ,42.3    ,38.5    ,19.2    ,23.1    ,53.8    ,-,61.5    ,3.8    ,57.7    ,253.8    
香川県,33    ,45.5    ,-,-,6.1    ,9.1    ,-,36.4    ,6.1    ,12.1    ,-,-,21.2    ,48.5    ,30.3    ,3.0    ,97.0    ,3.0    ,48.5    ,9.1    ,39.4    ,12.1    ,21.2    ,54.5    ,3.0    ,54.5    ,-,54.5    ,221.2    
愛媛県,34    ,44.1    ,-,2.9    ,-,-,20.6    ,23.5    ,8.8    ,11.8    ,5.9    ,-,20.6    ,29.4    ,29.4    ,5.9    ,85.3    ,14.7    ,47.1    ,20.6    ,32.4    ,17.6    ,20.6    ,38.2    ,5.9    ,64.7    ,23.5    ,44.1    ,217.6    
高知県,16    ,62.5    ,-,-,6.3    ,18.8    ,-,25.0    ,12.5    ,18.8    ,6.3    ,-,6.3    ,56.3    ,18.8    ,6.3    ,93.8    ,6.3    ,62.5    ,18.8    ,31.3    ,25.0    ,6.3    ,56.3    ,6.3    ,75.0    ,-,75.0    ,243.8    
福岡県,155    ,45.8    ,-,1.3    ,1.3    ,12.9    ,11.6    ,16.1    ,7.7    ,9.0    ,3.2    ,-,16.1    ,24.5    ,15.5    ,1.3    ,82.6    ,17.4    ,47.7    ,24.5    ,23.2    ,12.3    ,16.1    ,29.7    ,1.3    ,70.3    ,12.9    ,58.1    ,183.9    
佐賀県,20    ,35.0    ,-,-,-,5.0    ,25.0    ,35.0    ,5.0    ,5.0    ,20.0    ,-,25.0    ,45.0    ,25.0    ,-,90.0    ,10.0    ,35.0    ,30.0    ,40.0    ,25.0    ,25.0    ,45.0    ,-,60.0    ,25.0    ,40.0    ,235.0    
長崎県,44    ,25.0    ,-,4.5    ,9.1    ,13.6    ,2.3    ,11.4    ,11.4    ,13.6    ,4.5    ,-,25.0    ,47.7    ,38.6    ,4.5    ,79.5    ,20.5    ,36.4    ,15.9    ,22.7    ,15.9    ,25.0    ,61.4    ,4.5    ,52.3    ,6.8    ,45.5    ,231.8    
熊本県,43    ,60.5    ,-,-,2.3    ,16.3    ,9.3    ,20.9    ,14.0    ,23.3    ,14.0    ,-,41.9    ,53.5    ,48.8    ,-,100.0    ,-,60.5    ,23.3    ,32.6    ,27.9    ,41.9    ,67.4    ,-,72.1    ,9.3    ,67.4    ,304.7    
大分県,31    ,29.0    ,-,-,6.5    ,9.7    ,9.7    ,16.1    ,6.5    ,3.2    ,-,-,16.1    ,48.4    ,32.3    ,-,83.9    ,16.1    ,32.3    ,19.4    ,22.6    ,3.2    ,16.1    ,54.8    ,-,48.4    ,9.7    ,38.7    ,193.5    
宮崎県,40    ,42.5    ,2.5    ,2.5    ,-,5.0    ,10.0    ,17.5    ,7.5    ,17.5    ,7.5    ,-,20.0    ,17.5    ,15.0    ,2.5    ,77.5    ,22.5    ,47.5    ,15.0    ,25.0    ,22.5    ,20.0    ,20.0    ,2.5    ,55.0    ,12.5    ,50.0    ,190.0    
鹿児島県,33    ,51.5    ,-,-,3.0    ,-,15.2    ,21.2    ,6.1    ,9.1    ,3.0    ,-,12.1    ,51.5    ,24.2    ,6.1    ,97.0    ,3.0    ,51.5    ,15.2    ,27.3    ,12.1    ,12.1    ,54.5    ,6.1    ,63.6    ,15.2    ,51.5    ,206.1    
沖縄県,47    ,44.7    ,-,2.1    ,14.9    ,25.5    ,10.6    ,19.1    ,6.4    ,12.8    ,-,-,17.0    ,42.6    ,14.9    ,-,93.6    ,6.4    ,51.1    ,34.0    ,25.5    ,12.8    ,17.0    ,44.7    ,-,76.6    ,12.8    ,68.1    ,217.0    
Ｑ１〔機器の利用状況〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スマートフォン,1541    ,100.0    ,0.1    ,0.5    ,2.2    ,2.2    ,1.8    ,27.6    ,14.2    ,11.6    ,3.8    ,0.1    ,30.8    ,37.2    ,24.7    ,4.5    ,100.0    ,-,100.0    ,3.8    ,39.8    ,14.7    ,30.8    ,42.2    ,4.5    ,100.0    ,2.2    ,100.0    ,261.1    
格安スマートフォン,22    ,9.1    ,100.0    ,-,4.5    ,13.6    ,4.5    ,27.3    ,13.6    ,9.1    ,4.5    ,-,18.2    ,31.8    ,18.2    ,4.5    ,100.0    ,-,100.0    ,18.2    ,40.9    ,9.1    ,18.2    ,45.5    ,4.5    ,100.0    ,4.5    ,100.0    ,259.1    
機能限定・子供向けスマートフォン,60    ,11.7    ,-,100.0    ,3.3    ,3.3    ,-,13.3    ,5.0    ,16.7    ,8.3    ,-,15.0    ,38.3    ,23.3    ,1.7    ,100.0    ,-,100.0    ,3.3    ,18.3    ,21.7    ,15.0    ,45.0    ,1.7    ,100.0    ,100.0    ,16.7    ,240.0    
契約切れスマートフォン,100    ,34.0    ,1.0    ,2.0    ,100.0    ,20.0    ,9.0    ,32.0    ,16.0    ,16.0    ,6.0    ,-,24.0    ,62.0    ,31.0    ,6.0    ,100.0    ,-,100.0    ,29.0    ,43.0    ,22.0    ,24.0    ,64.0    ,6.0    ,100.0    ,11.0    ,100.0    ,359.0    
携帯電話,392    ,8.7    ,0.8    ,0.5    ,5.1    ,100.0    ,1.3    ,28.6    ,14.5    ,20.7    ,7.1    ,-,32.7    ,52.3    ,31.6    ,3.6    ,100.0    ,-,13.8    ,100.0    ,41.8    ,26.0    ,32.7    ,57.1    ,3.6    ,100.0    ,1.8    ,100.0    ,307.4    
機能限定電話・子ども向け携帯電話,307    ,8.8    ,0.3    ,-,2.9    ,1.6    ,100.0    ,20.5    ,10.1    ,18.6    ,9.1    ,0.7    ,14.0    ,51.5    ,29.3    ,1.3    ,100.0    ,-,11.4    ,100.0    ,28.7    ,26.7    ,14.0    ,56.4    ,1.3    ,100.0    ,100.0    ,12.4    ,268.7    
ノートパソコン,846    ,50.4    ,0.7    ,0.9    ,3.8    ,13.2    ,7.4    ,100.0    ,6.3    ,16.0    ,7.2    ,0.4    ,37.8    ,54.1    ,35.5    ,5.8    ,100.0    ,-,53.9    ,20.7    ,100.0    ,22.1    ,37.8    ,60.6    ,5.8    ,71.5    ,8.4    ,64.2    ,339.5    
デスクトップパソコン,409    ,53.5    ,0.7    ,0.7    ,3.9    ,13.9    ,7.6    ,13.0    ,100.0    ,20.5    ,7.6    ,0.2    ,37.9    ,51.3    ,35.2    ,9.3    ,100.0    ,-,57.0    ,20.5    ,100.0    ,27.1    ,37.9    ,58.2    ,9.3    ,72.9    ,8.3    ,67.0    ,355.5    
タブレット,483    ,36.9    ,0.4    ,2.1    ,3.3    ,16.8    ,11.8    ,28.0    ,17.4    ,100.0    ,5.2    ,0.2    ,29.6    ,53.0    ,36.9    ,5.8    ,100.0    ,-,41.6    ,28.2    ,42.4    ,100.0    ,29.6    ,60.7    ,5.8    ,65.4    ,13.9    ,53.2    ,347.2    
学習用タブレット,202    ,28.7    ,0.5    ,2.5    ,3.0    ,13.9    ,13.9    ,30.2    ,15.3    ,12.4    ,100.0    ,1.0    ,34.2    ,69.3    ,42.6    ,2.5    ,100.0    ,-,33.2    ,27.7    ,44.1    ,100.0    ,34.2    ,75.2    ,2.5    ,57.9    ,16.3    ,43.1    ,369.8    
子供向け娯楽用タブレット,9    ,22.2    ,-,-,-,-,22.2    ,33.3    ,11.1    ,11.1    ,22.2    ,100.0    ,33.3    ,77.8    ,33.3    ,-,100.0    ,-,22.2    ,22.2    ,44.4    ,100.0    ,33.3    ,77.8    ,-,44.4    ,22.2    ,22.2    ,366.7    
携帯音楽プレイヤー,875    ,54.2    ,0.5    ,1.0    ,2.7    ,14.6    ,4.9    ,36.6    ,17.7    ,16.3    ,7.9    ,0.3    ,100.0    ,53.3    ,34.3    ,5.7    ,100.0    ,-,56.7    ,19.4    ,51.2    ,23.1    ,100.0    ,59.7    ,5.7    ,73.6    ,5.9    ,68.5    ,350.1    
携帯ゲーム機,1495    ,38.3    ,0.5    ,1.5    ,4.1    ,13.7    ,10.6    ,30.6    ,14.0    ,17.1    ,9.4    ,0.5    ,31.2    ,100.0    ,47.3    ,4.7    ,100.0    ,-,42.5    ,24.1    ,42.7    ,25.6    ,31.2    ,100.0    ,4.7    ,62.7    ,12.1    ,52.3    ,323.5    
据置型ゲーム機,891    ,42.6    ,0.4    ,1.6    ,3.5    ,13.9    ,10.1    ,33.7    ,16.2    ,20.0    ,9.7    ,0.3    ,33.7    ,79.3    ,100.0    ,6.5    ,100.0    ,-,45.9    ,23.9    ,47.5    ,28.6    ,33.7    ,100.0    ,6.5    ,65.1    ,11.7    ,55.2    ,371.5    
インターネット接続テレビ,114    ,60.5    ,0.9    ,0.9    ,5.3    ,12.3    ,3.5    ,43.0    ,33.3    ,24.6    ,4.4    ,-,43.9    ,61.4    ,50.9    ,100.0    ,100.0    ,-,62.3    ,15.8    ,71.1    ,28.1    ,43.9    ,73.7    ,100.0    ,74.6    ,4.4    ,71.9    ,444.7    
利用している（計）,3142    ,49.0    ,0.7    ,1.9    ,3.2    ,12.5    ,9.8    ,26.9    ,13.0    ,15.4    ,6.4    ,0.3    ,27.8    ,47.6    ,28.4    ,3.6    ,100.0    ,-,53.4    ,22.1    ,38.3    ,21.2    ,27.8    ,53.4    ,3.6    ,72.7    ,11.7    ,62.6    ,246.5    
いずれも利用していない,299    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-,-,-,-,-,-,-,-,100.0    
