,,,
＜全員に＞,,,
Ｆ１　あなたの性別を教えて下さい。（１つだけ）,,,
,,,
,,,
,青少年分析軸,,
,総数,男性,女性
わからない,-,-,-
Ｑ３〔ネット利用項目（Ｅ１携帯音楽プレイヤー／ＭＡ）〕,,,
コミニュケーション,104    ,49.0    ,51.0    
ニュース,38    ,60.5    ,39.5    
情報検索,94    ,51.1    ,48.9    
地図・ナビゲーション,32    ,65.6    ,34.4    
音楽視聴,281    ,48.0    ,52.0    
動画視聴,144    ,54.2    ,45.8    
電子書籍,20    ,50.0    ,50.0    
ゲーム,128    ,58.6    ,41.4    
ショッピング・オークション,10    ,60.0    ,40.0    
その他,7    ,57.1    ,42.9    
わからない,5    ,40.0    ,60.0    
Ｑ３〔ネット利用項目（Ｆ１携帯ゲーム／ＭＡ）〕,,,
コミニュケーション,89    ,55.1    ,44.9    
ニュース,13    ,69.2    ,30.8    
情報検索,87    ,62.1    ,37.9    
地図・ナビゲーション,6    ,66.7    ,33.3    
音楽視聴,91    ,52.7    ,47.3    
動画視聴,147    ,61.2    ,38.8    
電子書籍,7    ,42.9    ,57.1    
ゲーム,555    ,64.3    ,35.7    
ショッピング・オークション,19    ,63.2    ,36.8    
その他,12    ,58.3    ,41.7    
わからない,13    ,38.5    ,61.5    
Ｑ３〔ネット利用項目（Ｆ２据置型ゲーム／ＭＡ）〕,,,
コミニュケーション,21    ,85.7    ,14.3    
ニュース,3    ,66.7    ,33.3    
情報検索,18    ,66.7    ,33.3    
地図・ナビゲーション,1    ,100.0    ,-
音楽視聴,20    ,65.0    ,35.0    
動画視聴,46    ,67.4    ,32.6    
電子書籍,1    ,100.0    ,-
ゲーム,231    ,72.7    ,27.3    
ショッピング・オークション,13    ,61.5    ,38.5    
その他,4    ,50.0    ,50.0    
わからない,11    ,72.7    ,27.3    
Ｑ３〔ネット利用項目（Ｇ１ネットテレビ／ＭＡ）〕,,,
コミニュケーション,1    ,100.0    ,-
ニュース,9    ,66.7    ,33.3    
情報検索,11    ,72.7    ,27.3    
地図・ナビゲーション,-,-,-
音楽視聴,10    ,40.0    ,60.0    
動画視聴,30    ,50.0    ,50.0    
電子書籍,-,-,-
ゲーム,6    ,16.7    ,83.3    
ショッピング・オークション,-,-,-
その他,6    ,16.7    ,83.3    
わからない,5    ,20.0    ,80.0    
Ｑ４〔ネット利用時間（Ａ１～Ｇ１の合計時間〕,,,
使っていない,69    ,52.2    ,47.8    
３０分未満,184    ,45.1    ,54.9    
３０分以上１時間未満,324    ,45.4    ,54.6    
１時間以上２時間未満,647    ,49.3    ,50.7    
２時間以上３時間未満,486    ,51.0    ,49.0    
３時間以上４時間未満,343    ,53.4    ,46.6    
４時間以上５時間未満,171    ,48.0    ,52.0    
５時間以上６時間未満,129    ,43.4    ,56.6    
６時間以上９時間未満,124    ,45.2    ,54.8    
９時間以上１２時間未満,24    ,54.2    ,45.8    
１２時間以上１５時間未満,17    ,76.5    ,23.5    
１５時間以上１８時間未満,4    ,25.0    ,75.0    
１８時間以上２１時間未満,4    ,-,100.0    
２１時間以上２４時間未満,3    ,-,100.0    
２４時間以上,1    ,-,100.0    
わからない,85    ,45.9    ,54.1    
２時間以上（計）,1306    ,49.9    ,50.1    
５時間以上（計）,306    ,45.4    ,54.6    
６時間以上（計）,177    ,46.9    ,53.1    
１２時間以上（計）,29    ,48.3    ,51.7    
１８時間以上（計）,8    ,-,100.0    
Ｑ４〔ネット利用時間（Ａ１スマホ）〕,,,
使っていない,12    ,66.7    ,33.3    
３０分未満,78    ,46.2    ,53.8    
３０分以上１時間未満,164    ,48.2    ,51.8    
１時間以上２時間未満,364    ,45.3    ,54.7    
２時間以上３時間未満,327    ,52.9    ,47.1    
３時間以上４時間未満,244    ,46.7    ,53.3    
４時間以上５時間未満,99    ,37.4    ,62.6    
５時間以上,156    ,38.5    ,61.5    
わからない,31    ,51.6    ,48.4    
２時間以上（計）,826    ,46.5    ,53.5    
Ｑ４〔ネット利用時間（Ａ２格安スマホ）〕,,,
使っていない,-,-,-
３０分未満,2    ,50.0    ,50.0    
３０分以上１時間未満,2    ,100.0    ,-
１時間以上２時間未満,3    ,33.3    ,66.7    
２時間以上３時間未満,5    ,40.0    ,60.0    
３時間以上４時間未満,1    ,100.0    ,-
４時間以上５時間未満,-,-,-
５時間以上,3    ,33.3    ,66.7    
わからない,3    ,66.7    ,33.3    
２時間以上（計）,9    ,44.4    ,55.6    
Ｑ４〔ネット利用時間（Ａ３子供スマホ）〕,,,
使っていない,3    ,33.3    ,66.7    
３０分未満,6    ,33.3    ,66.7    
３０分以上１時間未満,1    ,-,100.0    
１時間以上２時間未満,9    ,33.3    ,66.7    
２時間以上３時間未満,2    ,50.0    ,50.0    
３時間以上４時間未満,2    ,-,100.0    
４時間以上５時間未満,1    ,-,100.0    
５時間以上,-,-,-
わからない,4    ,50.0    ,50.0    
２時間以上（計）,5    ,20.0    ,80.0    
Ｑ４〔ネット利用時間（Ａ４契約切れスマホ）〕,,,
使っていない,5    ,60.0    ,40.0    
３０分未満,6    ,33.3    ,66.7    
３０分以上１時間未満,18    ,50.0    ,50.0    
１時間以上２時間未満,19    ,73.7    ,26.3    
２時間以上３時間未満,13    ,46.2    ,53.8    
３時間以上４時間未満,2    ,50.0    ,50.0    
４時間以上５時間未満,2    ,50.0    ,50.0    
５時間以上,3    ,33.3    ,66.7    
わからない,5    ,20.0    ,80.0    
２時間以上（計）,20    ,45.0    ,55.0    
Ｑ４〔ネット利用時間（Ｂ１携帯電話）〕,,,
使っていない,15    ,40.0    ,60.0    
３０分未満,43    ,34.9    ,65.1    
３０分以上１時間未満,21    ,23.8    ,76.2    
１時間以上２時間未満,14    ,42.9    ,57.1    
２時間以上３時間未満,7    ,28.6    ,71.4    
３時間以上４時間未満,3    ,33.3    ,66.7    
４時間以上５時間未満,2    ,-,100.0    
５時間以上,4    ,-,100.0    
わからない,11    ,18.2    ,81.8    
２時間以上（計）,16    ,18.8    ,81.3    
Ｑ４〔ネット利用時間（Ｂ２子ども向け携帯等）〕,,,
使っていない,5    ,60.0    ,40.0    
３０分未満,14    ,50.0    ,50.0    
３０分以上１時間未満,7    ,42.9    ,57.1    
１時間以上２時間未満,1    ,-,100.0    
２時間以上３時間未満,-,-,-
３時間以上４時間未満,-,-,-
４時間以上５時間未満,-,-,-
５時間以上,-,-,-
わからない,3    ,66.7    ,33.3    
２時間以上（計）,-,-,-
Ｑ４〔ネット利用時間（Ｃ１ノートＰＣ）〕,,,
使っていない,156    ,45.5    ,54.5    
３０分未満,137    ,50.4    ,49.6    
３０分以上１時間未満,196    ,45.9    ,54.1    
１時間以上２時間未満,154    ,50.0    ,50.0    
