都道府県,01総数,01スマートフォン,01格安スマートフォン,01機能限定・子供向けスマートフォン,01契約切れスマートフォン,01携帯電話,01機能限定電話・子ども向け携帯電話,01ノートパソコン,01デスクトップパソコン,01タブレット,01学習用タブレット,01子供向け娯楽用タブレット,01携帯音楽プレイヤー,01携帯ゲーム機,01据置型ゲーム機,01インターネット接続テレビ,01利用している（計）,01いずれも利用していない,01Ａスマートフォン（計）,01Ｂ携帯電話（計）,01Ｃパソコン（計）,01Ｄタブレット（計）,01Ｅ携帯音楽プレイヤー,01Ｆゲーム機（計）,01Ｇインターネット接続テレビ,01Ａ・Ｂスマートフォン・携帯電話（計）,01Ａ・Ｂ機能限定や子供向け（計）,01Ａ・Ｂ機能限定や子供向け以外（計）,01回答計,01総数_1,01スマートフォン_2,01格安スマートフォン_3,01機能限定・子供向けスマートフォン_4,01契約切れスマートフォン_5,01携帯電話_6,01機能限定電話・子ども向け携帯電話_7,01ノートパソコン_8,01デスクトップパソコン_9,01タブレット_10,01学習用タブレット_11,01子供向け娯楽用タブレット_12,01携帯音楽プレイヤー_13,01携帯ゲーム機_14,01据置型ゲーム機_15,01インターネット接続テレビ_16,01利用している（計）_17,01いずれも利用していない_18,01Ａスマートフォン（計）_19,01Ｂ携帯電話（計）_20,01Ｃパソコン（計）_21,01Ｄタブレット（計）_22,01Ｅ携帯音楽プレイヤー_23,01Ｆゲーム機（計）_24,01Ｇインターネット接続テレビ_25,01Ａ・Ｂスマートフォン・携帯電話（計）_26,01Ａ・Ｂ機能限定や子供向け（計）_27,01Ａ・Ｂ機能限定や子供向け以外（計）_28,01回答計_29,02該当数,02スマートフォン,02格安スマートフォン,02機能限定・子供向けスマートフォン,02契約切れスマートフォン,02携帯電話,02機能限定電話・子ども向け携帯電話,02ノートパソコン,02デスクトップパソコン,02タブレット,02学習用タブレット,02子供向け娯楽用タブレット,02携帯音楽プレイヤー,02携帯ゲーム機,02据置型ゲーム機,02インターネット接続テレビ,02インターネット利用（計）,02インターネット非利用,02モバイル機器（計）,02据置型機器（計）,02Ａスマートフォン（計）,02Ｂ携帯電話（計）,02Ｃパソコン（計）,02Ｄタブレット（計）,02Ｅ携帯音楽プレイヤー,02Ｆゲーム機（計）,02Ｇインターネット接続テレビ,02Ａ・Ｂスマートフォン・携帯電話（計）,02Ａ・Ｂ機能限定や子供向け（計）,02Ａ・Ｂ機能限定や子供向け以外（計）,37該当数,37コミニュケーション,37ニュース,37情報検索,37地図・ナビゲーション,37音楽視聴,37動画視聴,37電子書籍,37ゲーム,37ショッピング・オークション,37その他,37わからない,52全体 該当者,52使っていない,52３０分未満,52３０分以上１時間未満,52１時間以上２時間未満,52２時間以上３時間未満,52３時間以上４時間未満,52４時間以上５時間未満,52５時間以上６時間未満,52６時間以上９時間未満,52９時間以上１２時間未満,52１２時間以上１５時間未満,52１５時間以上１８時間未満,52１８時間以上２１時間未満,52２１時間以上２４時間未満,52２４時間以上,52わからない,52２時間以上（計）,52５時間以上（計）,52６時間以上（計）,52１２時間以上（計）,52１８時間以上（計）,52平均（分）,52標準偏差,68該当数,68スマートフォン,68格安スマートフォン,68機能限定・子供向けスマートフォン,68契約切れスマートフォン,68携帯電話,68機能限定電話・子ども向け携帯電話,68ノートパソコン,68デスクトップパソコン,68タブレット,68学習用タブレット,68子供向け娯楽用タブレット,68携帯音楽プレイヤー,68携帯ゲーム機,68据置型ゲーム機,68インターネット接続テレビ,68無線ＬＡＮ利用（計）,68無線ＬＡＮ非利用,68Ａスマートフォン（計）,68Ｂ携帯電話（計）,68Ｃパソコン（計）,68Ｄタブレット（計）,68Ｅ携帯音楽プレイヤー,68Ｆゲーム機（計）,68Ｇインターネット接続テレビ,68Ａ・Ｂスマートフォン・携帯電話（計）,68Ａ・Ｂ機能限定や子供向け（計）,68Ａ・Ｂ機能限定や子供向け以外（計）,85該当数,85悪口等のメール・メッセージ送られた,85悪口等のメール・メッセージ送った,85掲示板で自分や他人の情報書き込んだ,85親に話しにくいサイトを見た,85ゲームなどでお金を使いすぎた,85差別内容掲載サイトにアクセスする,85知らない人や、お店からメール来た,85迷惑メッセージ・メールを送られた,85ネットで知り合った人とメール等した,85ネットで知り合った同性と会った,85ネットで知り合った異性と会った,85ネットで知り合った人との関係悩んだ,85ネットにのめりこんで勉強できない,85その他困ったことがある,85あてはまるものがある（計）,85あてはまるものはない,85わからない,85回答計,86該当数,86利用する時間を決めている,86利用する場所を決めている,86メール・メッセージを送る相手の制限,86利用サイト・アプリ内容を決めている,86送信・投稿内容を決めている,86利用者情報を漏れないようにしている,86料金上限や課金方法を決めている,86困ったときはすぐに保護者に連絡する,86その他,86ルールを決めている（計）,86特にルールを決めていない,86わからない,86回答計,87総数,87学校で教えてもらった,87親（保護者）から教えてもらった,87兄弟・姉妹から教えてもらった,87機器の購入時に販売員より説明された,87機器の購入時に資料をもらった,87友だちから教えてもらった,87テレビや本・パンフレットで知った,87インターネットで知った,87その他,87説明を受けたり学んだりした（計）,87教えてもらったり学んだりしない,87わからない,87回答計,88総数,88男性,88女性,89総数,89１０歳,89１１歳,89１２歳,89１３歳,89１４歳,89１５歳,89１６歳,89１７歳,89平均,89標準偏差,90総数,90男性１０歳,90１１歳,90１２歳,90１３歳,90１４歳,90１５歳,90１６歳,90１７歳,90女性１０歳,90１１歳_30,90１２歳_31,90１３歳_32,90１４歳_33,90１５歳_34,90１６歳_35,90１７歳_36,91総数,91小学４年生,91小学５年生,91小学６年生,91中学１年生,91中学２年生,91中学３年生,91高校１年生,91高校２年生,91高校３年生,91専門学校、各種学校等,91中学校卒業,91高校中退,91専門学校、各種学校等中退・卒業,91小学生（計）,91中学生（計）,91高校生（計）,91その他（計）,92総数,92小学生男子,92女子,92中学生男子,92女子_37,92高校生男子,92女子_38,92その他,93総数,93１人以上いる,93いない,暴力件数,いじめ件数,不登校件数
青森県,60,41.7,1.7,1.7,0,3.3,3.3,23.3,5,6.7,1.7,0,30,38.3,16.7,0,81.7,18.3,45,6.7,28.3,8.3,30,41.7,0,51.7,5,46.7,191.7,60,41.7,1.7,1.7,0,3.3,3.3,23.3,5,6.7,1.7,0,30,38.3,16.7,0,81.7,18.3,45,6.7,28.3,8.3,30,41.7,0,51.7,5,46.7,191.7,49,49,2,0,0,4.1,0,20.4,6.1,6.1,2,0,6.1,14.3,2,0,75.5,24.5,73.5,8.2,51,4.1,26.5,8.2,6.1,14.3,0,55.1,0,55.1,37,78.4,35.1,54.1,32.4,64.9,86.5,21.6,83.8,13.5,2.7,2.7,37,2.7,5.4,5.4,16.2,24.3,13.5,13.5,5.4,10.8,0,2.7,0,0,0,0,0,70.3,18.9,13.5,2.7,0,186.08,150.3,37,37.8,0,0,0,0,0,16.2,2.7,5.4,0,0,5.4,16.2,2.7,0,100,0,37.8,0,18.9,5.4,5.4,16.2,0,37.8,0,37.8,37,5.4,0,5.4,0,0,0,24.3,29.7,16.2,2.7,2.7,0,18.9,0,56.8,43.2,0,148.6,37,13.5,10.8,8.1,8.1,10.8,21.6,18.9,21.6,2.7,56.8,43.2,0,159.5,60,83.3,18.3,5,1.7,1.7,10,28.3,8.3,1.7,90,10,0,168.3,60,50,50,60,10,10,6.7,10,15,13.3,15,20,14.1,2.3,60,3.3,6.7,6.7,3.3,5,5,8.3,11.7,6.7,3.3,0,6.7,10,8.3,6.7,8.3,60,6.7,6.7,11.7,8.3,15,16.7,8.3,20,3.3,0,1.7,1.7,0,25,40,31.7,3.3,60,15,10,15,25,16.7,15,3.3,60,53.3,46.7,2.3,8.6,10.2 
岩手県,30,23.3,0,0,0,3.3,6.7,30,13.3,20,3.3,0,23.3,43.3,6.7,0,83.3,16.7,23.3,10,40,23.3,23.3,43.3,0,33.3,6.7,26.7,190,30,23.3,0,0,0,3.3,6.7,30,13.3,20,3.3,0,23.3,43.3,6.7,0,83.3,16.7,23.3,10,40,23.3,23.3,43.3,0,33.3,6.7,26.7,190,25,28,0,0,0,4,0,24,12,20,0,0,8,28,0,0,76,24,76,12,28,4,36,20,8,28,0,32,0,32,19,63.2,15.8,52.6,10.5,52.6,47.4,10.5,89.5,5.3,0,0,19,0,0,21.1,42.1,21.1,5.3,0,0,0,0,0,0,0,0,0,10.5,26.3,0,0,0,0,81.47,51.4,19,31.6,0,0,0,0,0,26.3,10.5,26.3,0,0,10.5,21.1,0,0,100,0,31.6,0,36.8,26.3,10.5,21.1,0,31.6,0,31.6,19,0,0,0,0,0,0,10.5,5.3,5.3,0,0,0,5.3,0,26.3,73.7,0,100,19,31.6,15.8,5.3,5.3,10.5,5.3,15.8,21.1,0,57.9,36.8,5.3,152.6,30,83.3,16.7,3.3,3.3,0,0,3.3,6.7,0,86.7,10,3.3,130,30,40,60,30,16.7,20,13.3,3.3,6.7,13.3,13.3,13.3,13.23,2.6,30,0,10,0,3.3,6.7,6.7,6.7,6.7,16.7,10,13.3,0,0,6.7,6.7,6.7,30,6.7,13.3,23.3,6.7,6.7,13.3,16.7,10,3.3,0,0,0,0,43.3,26.7,30,0,30,10,33.3,13.3,13.3,16.7,13.3,0,30,60,40,0.9,13,10.5 
宮城県,80,42.5,1.3,3.8,3.8,12.5,6.3,16.3,3.8,6.3,3.8,1.3,30,52.5,36.3,1.3,96.3,3.8,47.5,18.8,18.8,11.3,30,58.8,1.3,65,10,56.3,225,80,42.5,1.3,3.8,3.8,12.5,6.3,16.3,3.8,6.3,3.8,1.3,30,52.5,36.3,1.3,96.3,3.8,47.5,18.8,18.8,11.3,30,58.8,1.3,65,10,56.3,225,77,44.2,1.3,1.3,1.3,11.7,1.3,14.3,3.9,6.5,2.6,1.3,15.6,31.2,19.5,0,87,13,85.7,23.4,46.8,13,16.9,10.4,15.6,36.4,0,59.7,2.6,58.4,67,76.1,23.9,56.7,19.4,50.7,56.7,10.4,62.7,7.5,3,0,67,11.9,6,10.4,26.9,16.4,10.4,3,7.5,4.5,0,0,1.5,0,0,0,1.5,43.3,13.4,6,1.5,0,128.98,144.3,67,43.3,1.5,1.5,1.5,1.5,1.5,10.4,0,6,1.5,0,9,26.9,11.9,0,100,0,47.8,3,10.4,7.5,9,29.9,0,50.7,3,47.8,67,10.4,1.5,1.5,3,0,0,14.9,11.9,0,0,0,0,7.5,1.5,28.4,71.6,0,123.9,67,25.4,17.9,7.5,13.4,13.4,17.9,29.9,31.3,1.5,61.2,38.8,0,197,80,67.5,32.5,2.5,6.3,3.8,10,10,1.3,0,71.3,27.5,1.3,162.5,80,41.3,58.8,80,12.5,8.8,16.3,10,16.3,5,12.5,18.8,13.68,2.4,80,6.3,3.8,7.5,7.5,1.3,2.5,5,7.5,6.3,5,8.8,2.5,15,2.5,7.5,11.3,80,5,13.8,12.5,12.5,17.5,5,10,15,5,0,1.3,2.5,0,31.3,35,30,3.8,80,13.8,17.5,13.8,21.3,12.5,17.5,3.8,80,72.5,27.5,3.9,69.9,16.4 
秋田県,26,65.4,0,7.7,0,11.5,11.5,38.5,23.1,11.5,3.8,0,30.8,46.2,50,3.8,96.2,3.8,65.4,23.1,53.8,11.5,30.8,65.4,3.8,73.1,19.2,65.4,307.7,26,65.4,0,7.7,0,11.5,11.5,38.5,23.1,11.5,3.8,0,30.8,46.2,50,3.8,96.2,3.8,65.4,23.1,53.8,11.5,30.8,65.4,3.8,73.1,19.2,65.4,307.7,25,68,0,8,0,12,8,40,24,8,0,0,20,44,48,4,100,0,100,52,68,20,56,8,20,64,4,72,16,68,25,88,24,84,24,64,68,24,92,20,0,4,25,0,0,4,12,20,24,16,4,12,4,0,0,0,0,0,4,80,20,16,0,0,225.63,136.5,25,48,0,4,0,8,0,36,16,8,0,0,20,24,24,4,100,0,48,8,44,8,20,36,4,48,4,48,25,4,0,4,4,0,0,20,32,24,0,0,0,24,0,56,44,0,156,25,8,28,24,32,40,72,52,68,0,84,16,0,340,26,80.8,42.3,3.8,15.4,23.1,11.5,19.2,19.2,0,88.5,11.5,0,226.9,26,42.3,57.7,26,7.7,7.7,11.5,11.5,15.4,7.7,19.2,19.2,14.15,2.3,26,3.8,3.8,0,3.8,7.7,7.7,11.5,3.8,3.8,3.8,11.5,7.7,7.7,0,7.7,15.4,26,7.7,3.8,11.5,11.5,11.5,7.7,15.4,23.1,7.7,0,0,0,0,23.1,30.8,46.2,0,26,7.7,15.4,11.5,19.2,23.1,23.1,0,26,69.2,30.8,0.6,11,9.7 
山形県,29,37.9,0,0,0,3.4,3.4,17.2,10.3,13.8,0,0,37.9,48.3,27.6,0,93.1,6.9,37.9,6.9,27.6,13.8,37.9,58.6,0,44.8,3.4,41.4,206.9,29,37.9,0,0,0,3.4,3.4,17.2,10.3,13.8,0,0,37.9,48.3,27.6,0,93.1,6.9,37.9,6.9,27.6,13.8,37.9,58.6,0,44.8,3.4,41.4,206.9,27,37,0,0,0,0,0,18.5,11.1,11.1,0,0,18.5,25.9,0,0,85.2,14.8,81.5,11.1,37,0,29.6,11.1,18.5,25.9,0,37,0,37,23,69.6,13,43.5,21.7,65.2,47.8,8.7,82.6,13,0,0,23,0,8.7,8.7,30.4,21.7,4.3,8.7,4.3,4.3,0,0,0,0,0,0,8.7,43.5,8.7,4.3,0,0,125.71,113.5,23,30.4,0,0,0,0,0,8.7,4.3,0,0,0,8.7,17.4,0,0,100,0,30.4,0,13,0,8.7,17.4,0,30.4,0,30.4,23,4.3,0,4.3,0,0,0,34.8,17.4,21.7,8.7,4.3,0,8.7,0,47.8,52.2,0,156.5,23,30.4,4.3,0,8.7,8.7,8.7,21.7,26.1,0,60.9,30.4,8.7,147.8,29,75.9,37.9,6.9,0,3.4,6.9,27.6,3.4,0,86.2,6.9,6.9,175.9,29,48.3,51.7,29,6.9,6.9,13.8,17.2,17.2,6.9,17.2,13.8,13.9,2.1,29,3.4,0,6.9,6.9,13.8,3.4,6.9,6.9,3.4,6.9,6.9,10.3,3.4,3.4,10.3,6.9,29,6.9,3.4,13.8,10.3,24.1,6.9,17.2,10.3,6.9,0,0,0,0,24.1,41.4,34.5,0,29,6.9,17.2,27.6,13.8,13.8,20.7,0,29,51.7,48.3,0.9,36.5,11.6 
福島県,43,32.6,0,2.3,2.3,0,7,34.9,7,14,2.3,0,9.3,55.8,25.6,7,95.3,4.7,37.2,7,41.9,16.3,9.3,58.1,7,44.2,9.3,34.9,204.7,43,32.6,0,2.3,2.3,0,7,34.9,7,14,2.3,0,9.3,55.8,25.6,7,95.3,4.7,37.2,7,41.9,16.3,9.3,58.1,7,44.2,9.3,34.9,204.7,41,31.7,0,0,2.4,0,0,36.6,7.3,14.6,2.4,0,2.4,19.5,9.8,7.3,78,22,78,22,34.1,0,43.9,17.1,2.4,22,7.3,34.1,0,34.1,32,43.8,21.9,62.5,15.6,62.5,75,3.1,75,9.4,9.4,0,32,0,0,18.8,21.9,15.6,18.8,6.3,6.3,6.3,0,0,0,0,0,0,6.3,53.1,12.5,6.3,0,0,142.83,111.8,32,34.4,0,0,3.1,0,0,15.6,3.1,12.5,3.1,0,3.1,21.9,0,0,100,0,37.5,0,18.8,15.6,3.1,21.9,0,37.5,0,37.5,32,0,0,3.1,0,0,0,25,31.3,15.6,0,0,0,18.8,0,40.6,53.1,6.3,153.1,32,31.3,18.8,12.5,18.8,15.6,34.4,18.8,46.9,0,75,18.8,6.3,221.9,43,81.4,51.2,0,2.3,7,18.6,11.6,4.7,0,95.3,2.3,2.3,181.4,43,53.5,46.5,43,16.3,18.6,11.6,7,16.3,9.3,11.6,9.3,13.09,2.3,43,4.7,14,2.3,4.7,9.3,7,4.7,7,11.6,4.7,9.3,2.3,7,2.3,7,2.3,43,11.6,18.6,14,4.7,20.9,4.7,14,7,4.7,0,0,0,0,44.2,30.2,25.6,0,43,18.6,25.6,18.6,11.6,16.3,9.3,0,43,39.5,60.5,0.7,4.1,10.9 
茨城県,82,45.1,0,3.7,1.2,8.5,7.3,30.5,13.4,12.2,4.9,0,23.2,46.3,25.6,3.7,96.3,3.7,50,15.9,42.7,17.1,23.2,52.4,3.7,64.6,11,54.9,229.3,82,45.1,0,3.7,1.2,8.5,7.3,30.5,13.4,12.2,4.9,0,23.2,46.3,25.6,3.7,96.3,3.7,50,15.9,42.7,17.1,23.2,52.4,3.7,64.6,11,54.9,229.3,79,45.6,0,1.3,1.3,3.8,1.3,30.4,12.7,12.7,3.8,0,10.1,21.5,8.9,0,87.3,12.7,86.1,20.3,48.1,5.1,41.8,16.5,10.1,24.1,0,53.2,2.5,50.6,69,60.9,23.2,56.5,15.9,60.9,69.6,7.2,66.7,5.8,4.3,1.4,69,2.9,8.7,18.8,26.1,17.4,10.1,2.9,4.3,2.9,0,0,0,0,0,0,5.8,37.7,7.2,2.9,0,0,104.15,93,69,34.8,0,0,1.4,1.4,0,23.2,10.1,10.1,2.9,0,8.7,20.3,10.1,0,100,0,36.2,1.4,31.9,13,8.7,24.6,0,37.7,0,37.7,69,1.4,0,4.3,2.9,1.4,0,7.2,8.7,7.2,0,0,1.4,7.2,4.3,27.5,71,1.4,118.8,69,31.9,15.9,5.8,14.5,10.1,11.6,15.9,27.5,0,60.9,37.7,1.4,172.5,82,74.4,24.4,0,3.7,1.2,4.9,4.9,2.4,0,79.3,18.3,2.4,136.6,82,56.1,43.9,82,12.2,12.2,6.1,9.8,20.7,12.2,12.2,14.6,13.73,2.3,82,8.5,7.3,3.7,3.7,9.8,4.9,8.5,9.8,3.7,4.9,2.4,6.1,11,7.3,3.7,4.9,82,7.3,13.4,7.3,11,13.4,15.9,9.8,13.4,7.3,0,1.2,0,0,28,40.2,30.5,1.2,82,17.1,11,15.9,24.4,22,8.5,1.2,82,67.1,32.9,5.1,13.9,10.7 
栃木県,69,44.9,0,2.9,1.4,4.3,4.3,20.3,7.2,15.9,5.8,0,13,42,27.5,1.4,88.4,11.6,47.8,8.7,24.6,21.7,13,44.9,1.4,56.5,7.2,49.3,202.9,69,44.9,0,2.9,1.4,4.3,4.3,20.3,7.2,15.9,5.8,0,13,42,27.5,1.4,88.4,11.6,47.8,8.7,24.6,21.7,13,44.9,1.4,56.5,7.2,49.3,202.9,61,45.9,0,0,0,3.3,0,23,8.2,16.4,6.6,0,8.2,26.2,11.5,0,78.7,21.3,78.7,18,45.9,3.3,27.9,23,8.2,26.2,0,49.2,0,49.2,48,64.6,25,68.8,29.2,72.9,75,14.6,79.2,14.6,10.4,4.2,48,2.1,4.2,8.3,25,31.3,14.6,6.3,4.2,0,2.1,0,0,0,0,0,2.1,58.3,6.3,2.1,0,0,133.3,96.8,48,31.3,0,0,0,0,0,18.8,10.4,14.6,8.3,0,4.2,25,8.3,0,100,0,31.3,0,25,22.9,4.2,25,0,31.3,0,31.3,48,2.1,2.1,0,4.2,0,0,16.7,14.6,16.7,4.2,2.1,2.1,10.4,0,35.4,62.5,2.1,139.6,48,27.1,20.8,4.2,12.5,16.7,27.1,31.3,20.8,2.1,66.7,29.2,4.2,195.8,69,89.9,37.7,2.9,2.9,4.3,13,24.6,8.7,0,92.8,4.3,2.9,191.3,69,52.2,47.8,69,10.1,11.6,11.6,17.4,15.9,13,11.6,8.7,13.46,2.1,69,2.9,4.3,10.1,5.8,10.1,7.2,7.2,4.3,7.2,7.2,1.4,11.6,5.8,5.8,4.3,4.3,69,4.3,11.6,14.5,13,14.5,15.9,11.6,7.2,4.3,0,1.4,0,1.4,30.4,43.5,23.2,2.9,69,14.5,15.9,21.7,21.7,14.5,8.7,2.9,69,47.8,52.2,2.9,9.5,14.8 
群馬県,41,36.6,0,2.4,0,9.8,4.9,31.7,12.2,22,4.9,0,36.6,39,19.5,2.4,78,22,39,14.6,41.5,22,36.6,39,2.4,53.7,7.3,46.3,243.9,41,36.6,0,2.4,0,9.8,4.9,31.7,12.2,22,4.9,0,36.6,39,19.5,2.4,78,22,39,14.6,41.5,22,36.6,39,2.4,53.7,7.3,46.3,243.9,32,43.8,0,0,0,3.1,0,40.6,12.5,28.1,3.1,0,25,15.6,6.3,0,93.8,6.3,90.6,18.8,43.8,3.1,50,28.1,25,15.6,0,46.9,0,46.9,30,53.3,26.7,63.3,30,53.3,66.7,6.7,56.7,10,3.3,3.3,30,3.3,16.7,13.3,33.3,10,10,3.3,3.3,3.3,0,0,0,0,0,0,3.3,30,6.7,3.3,0,0,100.69,95.5,30,43.3,0,0,0,0,0,30,3.3,23.3,0,0,16.7,10,3.3,0,100,0,43.3,0,33.3,23.3,16.7,10,0,43.3,0,43.3,30,13.3,6.7,0,0,3.3,0,20,23.3,13.3,3.3,0,0,10,3.3,50,43.3,6.7,146.7,30,36.7,13.3,0,0,6.7,13.3,16.7,16.7,0,56.7,43.3,0,146.7,41,85.4,63.4,2.4,4.9,0,12.2,17.1,2.4,2.4,87.8,7.3,4.9,202.4,41,36.6,63.4,41,12.2,4.9,19.5,7.3,14.6,9.8,14.6,17.1,13.8,2.4,41,2.4,2.4,7.3,2.4,4.9,4.9,7.3,4.9,9.8,2.4,12.2,4.9,9.8,4.9,7.3,12.2,41,9.8,7.3,7.3,17.1,9.8,17.1,12.2,9.8,9.8,0,0,0,0,24.4,43.9,31.7,0,41,7.3,17.1,17.1,26.8,12.2,19.5,0,41,51.2,48.8,1.1,10.1,12.7 
埼玉県,174,47.1,0.6,1.1,4,12.1,5.2,19,12.6,10.3,7.5,0.6,20.7,39.1,19.5,2.9,84.5,15.5,51.7,17.2,30.5,17.2,20.7,43.7,2.9,66.1,6.3,61.5,217.8,174,47.1,0.6,1.1,4,12.1,5.2,19,12.6,10.3,7.5,0.6,20.7,39.1,19.5,2.9,84.5,15.5,51.7,17.2,30.5,17.2,20.7,43.7,2.9,66.1,6.3,61.5,217.8,147,52.4,0.7,0.7,4.1,2.7,0.7,21.8,13.6,10.9,6.1,0.7,7.5,18.4,6.8,1.4,83,17,79.6,19,57.8,3.4,34.7,16.3,7.5,21.8,1.4,59.9,1.4,59.2,122,74.6,21.3,65.6,32,58.2,70.5,11.5,76.2,9,11.5,3.3,122,2.5,4.9,10.7,25.4,24.6,7.4,9.8,9.8,1.6,0.8,0.8,0,0,0,0,1.6,54.9,13.1,3.3,0.8,0,144.28,122.7,122,44.3,0,0,4.9,0,0,15.6,9.8,11.5,4.9,0.8,3.3,14.8,2.5,0,100,0,49.2,0,24.6,16.4,3.3,16.4,0,49.2,0,49.2,122,4.9,0.8,2.5,3.3,4.1,0,15.6,27.9,11.5,1.6,0.8,0.8,17.2,0,47.5,49.2,3.3,143.4,122,32,21.3,4.9,16.4,14.8,18.9,19.7,28.7,0.8,63.1,36.1,0.8,194.3,174,85.6,38.5,2.3,4.6,2.3,13.2,16.1,7.5,0,88.5,9.8,1.7,181.6,174,46.6,53.4,174,9.8,9.2,14.4,10.3,17.8,13.2,12.1,13.2,13.71,2.2,174,5.2,2.9,7.5,5.2,9.2,8,4,4.6,4.6,6.3,6.9,5.2,8.6,5.2,8,8.6,174,6.3,11.5,11.5,12.6,14.9,13.8,11.5,10.9,5.2,0,0,1.7,0,29.3,41.4,27.6,1.7,174,13.2,16.1,21.8,19.5,10.3,17.2,1.7,174,54,46,2.6,4,11.3 
千葉県,174,52.9,0.6,0.6,0,17.2,9.2,25.9,10.9,12.1,7.5,0,28.7,43.7,23.6,1.7,93.7,6.3,54,26.4,35.6,18.4,28.7,48.3,1.7,78.2,9.8,69,240.8,174,52.9,0.6,0.6,0,17.2,9.2,25.9,10.9,12.1,7.5,0,28.7,43.7,23.6,1.7,93.7,6.3,54,26.4,35.6,18.4,28.7,48.3,1.7,78.2,9.8,69,240.8,163,54.6,0.6,0.6,0,6.7,1.2,27,11.7,11.7,5.5,0,9.8,20.9,3.1,1.8,89,11,86.5,14.7,55.8,8,37.4,16,9.8,20.9,1.8,62.6,1.8,60.7,145,70.3,27.6,66.9,34.5,61.4,70.3,18.6,72.4,13.1,11,2.1,145,5.5,6.9,13.1,22.8,16.6,11.7,7.6,4.8,4.8,0.7,0.7,0,0,0,0,4.8,46.9,11,6.2,0.7,0,134.04,126.2,145,42.8,0,0,0,0.7,0,19.3,4.8,11,4.8,0,9,18.6,2.8,1.4,100,0,42.8,0.7,23.4,14.5,9,18.6,1.4,43.4,0,43.4,145,4.1,2.1,4.8,2.8,1.4,0,17.9,29.7,18.6,1.4,1.4,1.4,13.1,0.7,46.2,53.1,0.7,153.1,145,25.5,15.9,9,9.7,15.2,23.4,26.9,37.9,5.5,69.7,29.7,0.7,199.3,174,85.6,45.4,6.3,8.6,9.2,12.1,20.1,9.8,1.1,90.8,9.2,0,207.5,174,48.3,51.7,174,9.8,14.9,13.8,10.3,8.6,12.6,14.4,15.5,13.66,2.4,174,5.7,8.6,6.3,5.7,2.9,6.3,6.3,6.3,4,6.3,7.5,4.6,5.7,6.3,8,9.2,174,6.9,16.1,11.5,10.3,8.6,11.5,14.9,12.6,6.9,0,0,0.6,0,34.5,30.5,34.5,0.6,174,18.4,16.1,14.4,16.1,15.5,19,0.6,174,44.3,55.7,5.7,39.9,14.5 
東京都,237,47.3,2.1,3.4,1.3,17.3,13.9,29.1,15.2,18.1,5.9,0.4,31.6,48.9,29.1,5.5,95.8,4.2,52.7,30.8,42.2,22.4,31.6,52.7,5.5,81,17.3,65.8,273.4,237,47.3,2.1,3.4,1.3,17.3,13.9,29.1,15.2,18.1,5.9,0.4,31.6,48.9,29.1,5.5,95.8,4.2,52.7,30.8,42.2,22.4,31.6,52.7,5.5,81,17.3,65.8,273.4,227,48.9,1.8,1.8,0.9,2.6,0.9,28.2,15.4,17.2,2.6,0.4,7.5,21.6,6.2,1.8,81.1,18.9,79.7,19.8,52.4,3.5,41.9,18.9,7.5,22.9,1.8,55.9,2.6,53.3,184,67.4,33.2,70.7,38,62,69.6,12.5,75,14.1,4.9,2.7,184,1.1,7.1,16.3,23.9,16.8,15.2,8.2,3.8,3.3,1.1,0,0,0.5,0,0,2.7,48.9,8.7,4.9,0.5,0.5,136.41,129.8,184,45.1,1.1,0.5,1.1,0.5,0,22.3,12,17.9,3.3,0.5,6.5,16.8,5.4,1.1,100,0,46.7,0.5,33.7,20.1,6.5,18.5,1.1,47.3,0.5,46.7,184,3.8,0.5,2.2,2.7,2.2,0.5,20.7,28.3,8.2,2.2,0.5,1.1,9.8,1.6,44,55.4,0.5,140.2,184,33.7,16.8,9.2,14.1,10.3,25.5,17.9,25,0.5,68.5,31,0.5,184.8,237,89.9,43,2.1,3.8,3.8,10.5,23.2,7.2,0.4,94.1,4.2,1.7,189.9,237,50.6,49.4,237,14.3,11.4,14.3,10.5,11.8,12.7,13.5,11.4,13.43,2.3,237,5.9,5.9,7.2,6.3,4.6,8,6.8,5.9,8.4,5.5,7.2,4.2,7.2,4.6,6.8,5.5,237,7.6,14.8,13.1,11.4,13.1,11.8,12.7,12.7,2.5,0,0,0.4,0,35.4,36.3,27.8,0.4,237,16.9,18.6,19,17.3,14.8,13.1,0.4,237,54,46,1.8,7,12.7 
