,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,
〔回答票５〕Ｑ５〔D-2学習用タブレット〕あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,
,,,,
,,,,
,青少年分析軸,,,
,該当数,使っている,使うことはない,わからない
コミニュケーション,10    ,80.0    ,10.0    ,10.0    
ニュース,14    ,85.7    ,7.1    ,7.1    
情報検索,34    ,79.4    ,8.8    ,11.8    
地図・ナビゲーション,6    ,66.7    ,16.7    ,16.7    
音楽視聴,18    ,83.3    ,5.6    ,11.1    
動画視聴,27    ,74.1    ,11.1    ,14.8    
電子書籍,1    ,100.0    ,-,-
ゲーム,11    ,72.7    ,9.1    ,18.2    
ショッピング・オークション,3    ,66.7    ,-,33.3    
その他,3    ,66.7    ,33.3    ,-
わからない,-,-,-,-
Ｑ３〔ネット利用項目（Ｃ２デスクトップＰＣ／ＭＡ）〕,,,,
コミニュケーション,3    ,66.7    ,33.3    ,-
ニュース,6    ,66.7    ,33.3    ,-
情報検索,15    ,73.3    ,13.3    ,13.3    
地図・ナビゲーション,3    ,66.7    ,33.3    ,-
音楽視聴,5    ,80.0    ,20.0    ,-
動画視聴,12    ,66.7    ,16.7    ,16.7    
電子書籍,1    ,-,100.0    ,-
ゲーム,9    ,55.6    ,22.2    ,22.2    
ショッピング・オークション,1    ,100.0    ,-,-
その他,3    ,66.7    ,33.3    ,-
わからない,-,-,-,-
Ｑ３〔ネット利用項目（Ｄ１タブレット／ＭＡ）〕,,,,
コミニュケーション,2    ,50.0    ,-,50.0    
ニュース,2    ,50.0    ,-,50.0    
情報検索,7    ,57.1    ,-,42.9    
地図・ナビゲーション,3    ,66.7    ,-,33.3    
音楽視聴,6    ,83.3    ,-,16.7    
動画視聴,12    ,75.0    ,-,25.0    
電子書籍,1    ,100.0    ,-,-
ゲーム,12    ,83.3    ,-,16.7    
ショッピング・オークション,3    ,66.7    ,-,33.3    
その他,1    ,100.0    ,-,-
わからない,-,-,-,-
Ｑ３〔ネット利用項目（Ｄ２学習用タブレット／ＭＡ）〕,,,,
コミニュケーション,23    ,91.3    ,4.3    ,4.3    
ニュース,13    ,76.9    ,7.7    ,15.4    
情報検索,64    ,76.6    ,10.9    ,12.5    
地図・ナビゲーション,9    ,66.7    ,22.2    ,11.1    
音楽視聴,22    ,90.9    ,4.5    ,4.5    
動画視聴,47    ,85.1    ,6.4    ,8.5    
電子書籍,10    ,80.0    ,20.0    ,-
ゲーム,19    ,84.2    ,10.5    ,5.3    
ショッピング・オークション,1    ,100.0    ,-,-
その他,49    ,73.5    ,14.3    ,12.2    
わからない,4    ,25.0    ,-,75.0    
Ｑ３〔ネット利用項目（Ｄ３娯楽用タブレット／ＭＡ）〕,,,,
