,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 【全数ベース】＜Ｑ１のいずれかの機器を利用している（Ｑ１で「１」～「１５」のいずれかを回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【全数ベース】〔回答票２〕Ｑ２（ネット利用まとめ：1使っている）あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,インターネット利用（計）,インターネット非利用,モバイル機器（計）,据置型機器（計）,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）
非該当,3327    ,42.3    ,0.5    ,0.8    ,2.0    ,3.4    ,0.9    ,22.4    ,10.4    ,12.3    ,4.1    ,0.2    ,9.3    ,17.9    ,7.2    ,-,75.3    ,24.7    ,73.4    ,16.1    ,45.2    ,4.3    ,31.7    ,16.1    ,9.3    ,20.1    ,-,48.9    ,1.7    ,47.5    
Ｑ３〔ネット利用項目（Ａ１スマホ～Ｇ１インターネット接続テレビ計）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション（計）,1732    ,75.1    ,0.8    ,1.1    ,2.7    ,6.4    ,1.2    ,28.9    ,13.6    ,14.5    ,3.9    ,0.2    ,14.8    ,18.8    ,9.1    ,2.7    ,100.0    ,-,99.8    ,21.7    ,78.7    ,7.6    ,40.6    ,18.1    ,14.8    ,21.5    ,2.7    ,85.3    ,2.3    ,83.4    
ニュース（計）,638    ,75.2    ,1.3    ,0.6    ,3.6    ,4.7    ,0.8    ,37.5    ,17.6    ,17.9    ,6.4    ,-,16.1    ,19.7    ,13.6    ,3.8    ,100.0    ,-,99.5    ,29.0    ,78.2    ,5.5    ,52.2    ,23.2    ,16.1    ,24.1    ,3.8    ,82.8    ,1.4    ,81.8    
情報検索（計）,1626    ,61.7    ,0.7    ,1.0    ,3.0    ,4.3    ,0.7    ,36.5    ,18.0    ,19.1    ,6.0    ,0.3    ,13.1    ,21.0    ,10.8    ,2.8    ,100.0    ,-,97.4    ,27.1    ,65.3    ,5.0    ,52.3    ,24.4    ,13.1    ,24.5    ,2.8    ,69.7    ,1.8    ,68.3    
地図・ナビゲーション（計）,701    ,81.0    ,1.1    ,1.1    ,2.0    ,3.1    ,0.1    ,32.5    ,17.4    ,16.7    ,4.7    ,0.3    ,14.4    ,16.5    ,10.6    ,3.4    ,100.0    ,-,99.1    ,26.4    ,83.9    ,3.3    ,48.1    ,20.4    ,14.4    ,19.8    ,3.4    ,86.4    ,1.3    ,85.6    
音楽視聴（計）,1607    ,69.8    ,0.7    ,0.7    ,2.5    ,4.1    ,0.4    ,30.8    ,14.6    ,16.5    ,4.2    ,0.2    ,18.2    ,19.9    ,10.3    ,2.7    ,100.0    ,-,98.6    ,23.1    ,72.7    ,4.5    ,43.5    ,20.3    ,18.2    ,23.0    ,2.7    ,76.7    ,1.2    ,75.9    
動画視聴（計）,1804    ,63.4    ,0.7    ,0.7    ,2.9    ,3.5    ,0.5    ,34.0    ,16.7    ,18.6    ,5.2    ,0.2    ,13.3    ,23.0    ,10.7    ,2.8    ,100.0    ,-,97.7    ,25.7    ,66.6    ,4.0    ,48.6    ,23.2    ,13.3    ,26.3    ,2.8    ,70.0    ,1.2    ,69.2    
電子書籍（計）,303    ,76.6    ,0.7    ,0.7    ,2.0    ,5.0    ,1.0    ,31.4    ,15.8    ,20.5    ,6.9    ,-,16.5    ,22.1    ,13.9    ,3.0    ,100.0    ,-,98.7    ,27.1    ,77.9    ,5.9    ,45.2    ,26.7    ,16.5    ,26.4    ,3.0    ,83.2    ,1.7    ,82.2    
ゲーム（計）,1856    ,59.6    ,0.8    ,1.0    ,3.3    ,3.5    ,0.9    ,30.0    ,14.2    ,18.2    ,5.0    ,0.1    ,13.5    ,31.8    ,13.6    ,2.6    ,100.0    ,-,98.7    ,25.7    ,63.6    ,4.4    ,42.4    ,22.4    ,13.5    ,35.9    ,2.6    ,67.2    ,1.9    ,65.8    
ショッピング・オークション（計）,299    ,77.6    ,0.7    ,-,4.0    ,4.0    ,-,40.5    ,19.7    ,16.4    ,3.7    ,0.3    ,13.7    ,25.4    ,16.1    ,4.0    ,100.0    ,-,99.0    ,30.4    ,79.6    ,4.0    ,57.2    ,18.4    ,13.7    ,29.1    ,4.0    ,83.3    ,-,83.3    
その他（計）,185    ,53.0    ,0.5    ,1.6    ,2.7    ,6.5    ,2.2    ,40.5    ,25.4    ,21.1    ,29.2    ,0.5    ,15.1    ,35.1    ,13.5    ,6.5    ,100.0    ,-,97.8    ,36.8    ,56.2    ,8.6    ,63.2    ,44.9    ,15.1    ,37.8    ,6.5    ,63.8    ,3.8    ,60.5    
わからない（計）,67    ,43.3    ,1.5    ,7.5    ,3.0    ,3.0    ,6.0    ,34.3    ,26.9    ,25.4    ,10.4    ,-,17.9    ,50.7    ,26.9    ,9.0    ,100.0    ,-,95.5    ,53.7    ,52.2    ,9.0    ,59.7    ,32.8    ,17.9    ,59.7    ,9.0    ,58.2    ,13.4    ,47.8    
Ｑ３〔ネット利用項目（Ａ１スマホ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,1292    ,100.0    ,0.2    ,0.2    ,0.9    ,0.6    ,0.1    ,27.5    ,14.2    ,10.5    ,2.4    ,0.2    ,10.4    ,13.8    ,7.8    ,2.4    ,100.0    ,-,100.0    ,21.4    ,100.0    ,0.7    ,39.6    ,12.5    ,10.4    ,16.4    ,2.4    ,100.0    ,0.3    ,100.0    
ニュース,431    ,100.0    ,0.2    ,0.5    ,2.6    ,0.5    ,-,33.2    ,14.6    ,12.5    ,3.9    ,-,13.5    ,16.9    ,11.8    ,3.2    ,100.0    ,-,100.0    ,26.0    ,100.0    ,0.5    ,45.0    ,15.8    ,13.5    ,21.1    ,3.2    ,100.0    ,0.5    ,100.0    
情報検索,920    ,100.0    ,0.1    ,0.2    ,1.4    ,0.7    ,0.3    ,29.8    ,14.5    ,12.6    ,3.2    ,0.2    ,10.7    ,15.4    ,10.2    ,2.7    ,100.0    ,-,100.0    ,23.9    ,100.0    ,1.0    ,42.3    ,15.0    ,10.7    ,18.8    ,2.7    ,100.0    ,0.5    ,100.0    
地図・ナビゲーション,548    ,100.0    ,-,0.2    ,1.5    ,0.5    ,0.2    ,30.8    ,16.2    ,11.7    ,3.1    ,0.2    ,12.4    ,15.7    ,9.9    ,2.7    ,100.0    ,-,100.0    ,25.2    ,100.0    ,0.7    ,44.9    ,13.9    ,12.4    ,19.0    ,2.7    ,100.0    ,0.4    ,100.0    
音楽視聴,1052    ,100.0    ,0.1    ,0.2    ,0.8    ,0.4    ,0.1    ,27.1    ,13.6    ,10.6    ,3.0    ,0.2    ,10.0    ,14.4    ,8.9    ,2.9    ,100.0    ,-,100.0    ,21.7    ,100.0    ,0.5    ,38.8    ,13.1    ,10.0    ,17.3    ,2.9    ,100.0    ,0.3    ,100.0    
動画視聴,1068    ,100.0    ,0.1    ,0.2    ,1.4    ,0.3    ,0.2    ,28.5    ,14.6    ,11.6    ,3.3    ,0.2    ,9.3    ,16.3    ,9.8    ,2.8    ,100.0    ,-,100.0    ,23.3    ,100.0    ,0.5    ,40.8    ,14.3    ,9.3    ,19.3    ,2.8    ,100.0    ,0.4    ,100.0    
電子書籍,218    ,100.0    ,-,0.5    ,1.8    ,0.9    ,-,28.4    ,16.5    ,16.5    ,5.0    ,-,12.4    ,18.3    ,13.3    ,2.3    ,100.0    ,-,100.0    ,27.1    ,100.0    ,0.9    ,42.2    ,21.1    ,12.4    ,22.9    ,2.3    ,100.0    ,0.5    ,100.0    
ゲーム,1054    ,100.0    ,-,0.2    ,1.4    ,0.4    ,0.3    ,27.7    ,13.2    ,11.0    ,3.3    ,0.2    ,10.0    ,18.4    ,10.4    ,2.3    ,100.0    ,-,100.0    ,22.0    ,100.0    ,0.7    ,39.3    ,13.9    ,10.0    ,21.3    ,2.3    ,100.0    ,0.5    ,100.0    
ショッピング・オークション,177    ,100.0    ,-,-,2.3    ,-,-,33.3    ,13.6    ,10.7    ,1.7    ,0.6    ,11.3    ,16.9    ,9.6    ,4.0    ,100.0    ,-,100.0    ,19.2    ,100.0    ,-,44.6    ,11.9    ,11.3    ,19.2    ,4.0    ,100.0    ,-,100.0    
その他,39    ,100.0    ,-,-,-,-,-,41.0    ,15.4    ,17.9    ,5.1    ,-,15.4    ,17.9    ,12.8    ,2.6    ,100.0    ,-,100.0    ,25.6    ,100.0    ,-,51.3    ,23.1    ,15.4    ,20.5    ,2.6    ,100.0    ,-,100.0    
わからない,3    ,100.0    ,-,-,-,-,-,33.3    ,33.3    ,-,-,-,-,33.3    ,-,-,100.0    ,-,100.0    ,33.3    ,100.0    ,-,66.7    ,-,-,33.3    ,-,100.0    ,-,100.0    
Ｑ３〔ネット利用項目（Ａ２格安スマホ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,14    ,14.3    ,100.0    ,-,-,7.1    ,-,28.6    ,14.3    ,-,-,-,7.1    ,7.1    ,7.1    ,7.1    ,100.0    ,-,100.0    ,28.6    ,100.0    ,7.1    ,42.9    ,-,7.1    ,14.3    ,7.1    ,100.0    ,-,100.0    
ニュース,6    ,-,100.0    ,-,-,-,-,-,50.0    ,-,-,-,-,16.7    ,-,-,100.0    ,-,100.0    ,50.0    ,100.0    ,-,50.0    ,-,-,16.7    ,-,100.0    ,-,100.0    
情報検索,9    ,11.1    ,100.0    ,-,-,-,-,11.1    ,33.3    ,-,-,-,11.1    ,11.1    ,-,11.1    ,100.0    ,-,100.0    ,44.4    ,100.0    ,-,44.4    ,-,11.1    ,11.1    ,11.1    ,100.0    ,-,100.0    
地図・ナビゲーション,6    ,-,100.0    ,-,-,-,-,16.7    ,33.3    ,-,-,-,-,-,-,-,100.0    ,-,100.0    ,33.3    ,100.0    ,-,50.0    ,-,-,-,-,100.0    ,-,100.0    
音楽視聴,11    ,9.1    ,100.0    ,-,-,9.1    ,-,27.3    ,9.1    ,-,-,-,9.1    ,9.1    ,-,9.1    ,100.0    ,-,100.0    ,18.2    ,100.0    ,9.1    ,36.4    ,-,9.1    ,9.1    ,9.1    ,100.0    ,-,100.0    
動画視聴,11    ,9.1    ,100.0    ,-,-,9.1    ,-,36.4    ,9.1    ,-,-,-,9.1    ,9.1    ,9.1    ,9.1    ,100.0    ,-,100.0    ,27.3    ,100.0    ,9.1    ,45.5    ,-,9.1    ,18.2    ,9.1    ,100.0    ,-,100.0    
電子書籍,2    ,-,100.0    ,-,-,-,-,50.0    ,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,-,100.0    ,-,50.0    ,-,-,-,-,100.0    ,-,100.0    
ゲーム,14    ,7.1    ,100.0    ,-,-,7.1    ,-,14.3    ,14.3    ,-,-,-,-,7.1    ,-,-,100.0    ,-,100.0    ,14.3    ,100.0    ,7.1    ,28.6    ,-,-,7.1    ,-,100.0    ,-,100.0    
ショッピング・オークション,1    ,-,100.0    ,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,-,100.0    ,-,-,-,-,-,-,100.0    ,-,100.0    
その他,1    ,-,100.0    ,-,-,-,-,-,100.0    ,-,-,-,-,-,-,-,100.0    ,-,100.0    ,100.0    ,100.0    ,-,100.0    ,-,-,-,-,100.0    ,-,100.0    
わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｑ３〔ネット利用項目（Ａ３子供スマホ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,17    ,11.8    ,-,100.0    ,-,-,-,11.8    ,5.9    ,11.8    ,-,-,5.9    ,11.8    ,11.8    ,5.9    ,100.0    ,-,100.0    ,11.8    ,100.0    ,-,17.6    ,11.8    ,5.9    ,11.8    ,5.9    ,100.0    ,100.0    ,11.8    
ニュース,2    ,-,-,100.0    ,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,-,100.0    ,-,-,-,-,-,-,100.0    ,100.0    ,-
情報検索,12    ,8.3    ,-,100.0    ,-,-,-,8.3    ,-,-,-,-,8.3    ,8.3    ,8.3    ,8.3    ,100.0    ,-,100.0    ,8.3    ,100.0    ,-,8.3    ,-,8.3    ,8.3    ,8.3    ,100.0    ,100.0    ,8.3    
地図・ナビゲーション,6    ,16.7    ,-,100.0    ,-,-,-,16.7    ,-,-,-,-,16.7    ,16.7    ,16.7    ,16.7    ,100.0    ,-,100.0    ,16.7    ,100.0    ,-,16.7    ,-,16.7    ,16.7    ,16.7    ,100.0    ,100.0    ,16.7    
音楽視聴,9    ,22.2    ,-,100.0    ,11.1    ,11.1    ,-,22.2    ,-,11.1    ,-,-,-,11.1    ,11.1    ,-,100.0    ,-,100.0    ,11.1    ,100.0    ,11.1    ,22.2    ,11.1    ,-,11.1    ,-,100.0    ,100.0    ,33.3    
動画視聴,10    ,20.0    ,-,100.0    ,10.0    ,10.0    ,-,20.0    ,-,-,-,-,10.0    ,20.0    ,20.0    ,10.0    ,100.0    ,-,100.0    ,20.0    ,100.0    ,10.0    ,20.0    ,-,10.0    ,20.0    ,10.0    ,100.0    ,100.0    ,30.0    
電子書籍,1    ,100.0    ,-,100.0    ,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,-,100.0    ,-,-,-,-,-,-,100.0    ,100.0    ,100.0    
ゲーム,12    ,8.3    ,-,100.0    ,8.3    ,-,-,8.3    ,-,-,-,-,8.3    ,8.3    ,8.3    ,8.3    ,100.0    ,-,100.0    ,8.3    ,100.0    ,-,8.3    ,-,8.3    ,8.3    ,8.3    ,100.0    ,100.0    ,16.7    
ショッピング・オークション,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,3    ,-,-,100.0    ,-,-,-,-,-,33.3    ,33.3    ,-,-,33.3    ,-,-,100.0    ,-,100.0    ,-,100.0    ,-,-,33.3    ,-,33.3    ,-,100.0    ,100.0    ,-
わからない,3    ,-,-,100.0    ,-,-,-,-,33.3    ,-,-,-,-,33.3    ,-,-,100.0    ,-,100.0    ,33.3    ,100.0    ,-,33.3    ,-,-,33.3    ,-,100.0    ,100.0    ,-
Ｑ３〔ネット利用項目（Ａ４契約切れスマホ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,31    ,9.7    ,-,-,100.0    ,9.7    ,3.2    ,29.0    ,6.5    ,9.7    ,-,-,6.5    ,22.6    ,6.5    ,3.2    ,100.0    ,-,100.0    ,12.9    ,100.0    ,12.9    ,32.3    ,9.7    ,6.5    ,22.6    ,3.2    ,100.0    ,3.2    ,100.0    
ニュース,11    ,18.2    ,-,-,100.0    ,9.1    ,-,27.3    ,9.1    ,9.1    ,-,-,-,18.2    ,18.2    ,9.1    ,100.0    ,-,100.0    ,27.3    ,100.0    ,9.1    ,36.4    ,9.1    ,-,18.2    ,9.1    ,100.0    ,-,100.0    
情報検索,33    ,27.3    ,-,-,100.0    ,-,-,27.3    ,9.1    ,21.2    ,3.0    ,-,6.1    ,24.2    ,12.1    ,6.1    ,100.0    ,-,100.0    ,24.2    ,100.0    ,-,36.4    ,24.2    ,6.1    ,30.3    ,6.1    ,100.0    ,-,100.0    
地図・ナビゲーション,7    ,14.3    ,-,-,100.0    ,-,-,28.6    ,14.3    ,-,14.3    ,-,-,-,-,-,100.0    ,-,100.0    ,14.3    ,100.0    ,-,42.9    ,14.3    ,-,-,-,100.0    ,-,100.0    
音楽視聴,33    ,21.2    ,-,3.0    ,100.0    ,6.1    ,-,27.3    ,12.1    ,12.1    ,-,-,6.1    ,24.2    ,15.2    ,3.0    ,100.0    ,-,100.0    ,24.2    ,100.0    ,6.1    ,33.3    ,12.1    ,6.1    ,30.3    ,3.0    ,100.0    ,3.0    ,100.0    
動画視聴,43    ,25.6    ,-,2.3    ,100.0    ,4.7    ,2.3    ,27.9    ,9.3    ,14.0    ,-,-,2.3    ,32.6    ,16.3    ,4.7    ,100.0    ,-,100.0    ,25.6    ,100.0    ,7.0    ,34.9    ,14.0    ,2.3    ,37.2    ,4.7    ,100.0    ,4.7    ,100.0    
電子書籍,3    ,33.3    ,-,-,100.0    ,-,-,66.7    ,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,-,100.0    ,-,66.7    ,-,-,-,-,100.0    ,-,100.0    
ゲーム,50    ,18.0    ,-,2.0    ,100.0    ,4.0    ,4.0    ,28.0    ,14.0    ,8.0    ,2.0    ,-,6.0    ,34.0    ,10.0    ,4.0    ,100.0    ,-,100.0    ,26.0    ,100.0    ,8.0    ,38.0    ,10.0    ,6.0    ,36.0    ,4.0    ,100.0    ,6.0    ,100.0    
ショッピング・オークション,4    ,25.0    ,-,-,100.0    ,-,-,50.0    ,25.0    ,-,-,-,-,50.0    ,25.0    ,-,100.0    ,-,100.0    ,50.0    ,100.0    ,-,75.0    ,-,-,50.0    ,-,100.0    ,-,100.0    
その他,1    ,100.0    ,-,-,100.0    ,-,-,100.0    ,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,-,100.0    ,-,100.0    ,-,-,-,-,100.0    ,-,100.0    
わからない,1    ,-,-,-,100.0    ,-,-,100.0    ,-,100.0    ,-,-,-,100.0    ,-,-,100.0    ,-,100.0    ,-,100.0    ,-,100.0    ,100.0    ,-,100.0    ,-,100.0    ,-,100.0    
Ｑ３〔ネット利用項目（Ｂ１携帯電話／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,109    ,6.4    ,0.9    ,0.9    ,2.8    ,100.0    ,-,33.9    ,9.2    ,16.5    ,4.6    ,-,22.0    ,28.4    ,9.2    ,4.6    ,100.0    ,-,100.0    ,18.3    ,10.1    ,100.0    ,43.1    ,20.2    ,22.0    ,29.4    ,4.6    ,100.0    ,0.9    ,100.0    
ニュース,11    ,-,9.1    ,-,-,100.0    ,-,27.3    ,9.1    ,9.1    ,18.2    ,-,-,45.5    ,27.3    ,9.1    ,100.0    ,-,100.0    ,27.3    ,9.1    ,100.0    ,36.4    ,18.2    ,-,45.5    ,9.1    ,100.0    ,-,100.0    
情報検索,20    ,10.0    ,-,5.0    ,-,100.0    ,-,35.0    ,5.0    ,5.0    ,5.0    ,-,5.0    ,35.0    ,20.0    ,5.0    ,100.0    ,-,100.0    ,25.0    ,10.0    ,100.0    ,40.0    ,10.0    ,5.0    ,35.0    ,5.0    ,100.0    ,5.0    ,100.0    
地図・ナビゲーション,7    ,-,14.3    ,-,-,100.0    ,-,28.6    ,28.6    ,-,-,-,-,42.9    ,28.6    ,28.6    ,100.0    ,-,100.0    ,42.9    ,14.3    ,100.0    ,57.1    ,-,-,42.9    ,28.6    ,100.0    ,-,100.0    
音楽視聴,16    ,6.3    ,-,6.3    ,-,100.0    ,-,37.5    ,6.3    ,6.3    ,-,-,12.5    ,31.3    ,25.0    ,6.3    ,100.0    ,-,100.0    ,31.3    ,6.3    ,100.0    ,43.8    ,6.3    ,12.5    ,31.3    ,6.3    ,100.0    ,6.3    ,100.0    
動画視聴,9    ,11.1    ,-,11.1    ,-,100.0    ,-,33.3    ,-,-,-,-,-,33.3    ,22.2    ,-,100.0    ,-,100.0    ,22.2    ,11.1    ,100.0    ,33.3    ,-,-,33.3    ,-,100.0    ,11.1    ,100.0    
電子書籍,3    ,-,-,-,-,100.0    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,-,-,100.0    ,-,-,-,-,-,100.0    ,-,100.0    
ゲーム,14    ,7.1    ,-,-,7.1    ,100.0    ,-,28.6    ,14.3    ,7.1    ,7.1    ,-,21.4    ,50.0    ,21.4    ,-,100.0    ,-,100.0    ,21.4    ,14.3    ,100.0    ,42.9    ,14.3    ,21.4    ,50.0    ,-,100.0    ,-,100.0    
ショッピング・オークション,2    ,-,-,-,-,100.0    ,-,100.0    ,-,-,-,-,-,50.0    ,-,-,100.0    ,-,100.0    ,-,-,100.0    ,100.0    ,-,-,50.0    ,-,100.0    ,-,100.0    
その他,5    ,20.0    ,-,-,-,100.0    ,-,40.0    ,20.0    ,-,-,-,-,20.0    ,20.0    ,20.0    ,100.0    ,-,100.0    ,40.0    ,20.0    ,100.0    ,60.0    ,-,-,20.0    ,20.0    ,100.0    ,-,100.0    
わからない,2    ,-,-,-,-,100.0    ,-,-,-,-,-,-,-,50.0    ,-,-,100.0    ,-,100.0    ,-,-,100.0    ,-,-,-,50.0    ,-,100.0    ,-,100.0    
Ｑ３〔ネット利用項目（Ｂ２子ども向け携帯等／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,19    ,5.3    ,-,-,5.3    ,-,100.0    ,10.5    ,21.1    ,26.3    ,-,-,15.8    ,26.3    ,15.8    ,-,100.0    ,-,100.0    ,31.6    ,10.5    ,100.0    ,26.3    ,26.3    ,15.8    ,36.8    ,-,100.0    ,100.0    ,10.5    
ニュース,1    ,-,-,-,-,-,100.0    ,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,-,-,100.0    ,-,-,-,-,-,100.0    ,100.0    ,-
情報検索,5    ,40.0    ,-,-,-,-,100.0    ,40.0    ,-,-,-,-,-,20.0    ,20.0    ,20.0    ,100.0    ,-,100.0    ,40.0    ,40.0    ,100.0    ,40.0    ,-,-,40.0    ,20.0    ,100.0    ,100.0    ,40.0    
地図・ナビゲーション,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音楽視聴,3    ,33.3    ,-,-,-,-,100.0    ,-,-,-,-,-,-,-,33.3    ,-,100.0    ,-,100.0    ,33.3    ,33.3    ,100.0    ,-,-,-,33.3    ,-,100.0    ,100.0    ,33.3    
動画視聴,2    ,-,-,-,-,-,100.0    ,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,-,-,100.0    ,-,-,-,-,-,100.0    ,100.0    ,-
電子書籍,1    ,-,-,-,-,-,100.0    ,100.0    ,-,-,-,-,-,100.0    ,-,-,100.0    ,-,100.0    ,-,-,100.0    ,100.0    ,-,-,100.0    ,-,100.0    ,100.0    ,-
ゲーム,4    ,-,-,-,25.0    ,-,100.0    ,25.0    ,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,-,25.0    ,100.0    ,25.0    ,-,-,-,-,100.0    ,100.0    ,25.0    
ショッピング・オークション,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,1    ,-,-,-,-,-,100.0    ,-,-,-,-,-,-,100.0    ,-,-,100.0    ,-,100.0    ,-,-,100.0    ,-,-,-,100.0    ,-,100.0    ,100.0    ,-
わからない,3    ,33.3    ,-,-,-,-,100.0    ,33.3    ,-,33.3    ,33.3    ,-,33.3    ,33.3    ,33.3    ,-,100.0    ,-,100.0    ,33.3    ,33.3    ,100.0    ,33.3    ,33.3    ,33.3    ,33.3    ,-,100.0    ,100.0    ,33.3    
Ｑ３〔ネット利用項目（Ｃ１ノートＰＣ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,176    ,59.1    ,1.1    ,-,4.5    ,3.4    ,-,100.0    ,6.8    ,13.6    ,5.7    ,1.1    ,21.6    ,30.1    ,19.3    ,2.8    ,100.0    ,-,100.0    ,25.6    ,61.9    ,3.4    ,100.0    ,18.2    ,21.6    ,35.8    ,2.8    ,64.8    ,-,64.8    
ニュース,163    ,63.2    ,0.6    ,0.6    ,2.5    ,6.1    ,0.6    ,100.0    ,6.1    ,17.2    ,8.6    ,-,17.2    ,27.6    ,17.2    ,3.1    ,100.0    ,-,100.0    ,23.9    ,64.4    ,6.7    ,100.0    ,23.9    ,17.2    ,31.3    ,3.1    ,69.9    ,1.2    ,69.3    
情報検索,529    ,52.2    ,0.6    ,0.2    ,2.8    ,6.0    ,0.8    ,100.0    ,6.0    ,13.6    ,6.4    ,0.6    ,14.2    ,25.7    ,13.6    ,2.5    ,100.0    ,-,100.0    ,19.5    ,54.3    ,6.8    ,100.0    ,19.7    ,14.2    ,29.9    ,2.5    ,60.1    ,0.9    ,59.5    
地図・ナビゲーション,84    ,60.7    ,-,-,-,8.3    ,-,100.0    ,2.4    ,14.3    ,7.1    ,-,17.9    ,22.6    ,11.9    ,1.2    ,100.0    ,-,100.0    ,15.5    ,60.7    ,8.3    ,100.0    ,19.0    ,17.9    ,26.2    ,1.2    ,69.0    ,-,69.0    
音楽視聴,291    ,55.0    ,0.3    ,0.3    ,2.4    ,3.8    ,-,100.0    ,5.2    ,13.7    ,6.2    ,-,14.8    ,25.8    ,15.5    ,2.7    ,100.0    ,-,100.0    ,20.3    ,56.7    ,3.8    ,100.0    ,19.2    ,14.8    ,31.3    ,2.7    ,60.1    ,0.3    ,60.1    
動画視聴,482    ,49.6    ,0.2    ,0.4    ,3.3    ,5.2    ,0.4    ,100.0    ,5.0    ,13.5    ,5.6    ,0.2    ,14.1    ,30.3    ,14.7    ,2.5    ,100.0    ,-,100.0    ,19.5    ,51.7    ,5.6    ,100.0    ,18.5    ,14.1    ,35.1    ,2.5    ,56.8    ,0.8    ,56.2    
電子書籍,30    ,46.7    ,-,-,3.3    ,-,3.3    ,100.0    ,-,26.7    ,3.3    ,-,16.7    ,30.0    ,16.7    ,3.3    ,100.0    ,-,100.0    ,20.0    ,50.0    ,3.3    ,100.0    ,26.7    ,16.7    ,33.3    ,3.3    ,53.3    ,3.3    ,50.0    
ゲーム,224    ,37.5    ,0.4    ,-,2.2    ,4.9    ,0.4    ,100.0    ,4.5    ,16.5    ,4.9    ,-,12.5    ,30.8    ,15.2    ,3.6    ,100.0    ,-,100.0    ,20.5    ,39.3    ,5.4    ,100.0    ,21.0    ,12.5    ,36.2    ,3.6    ,43.8    ,0.4    ,43.3    
ショッピング・オークション,80    ,70.0    ,1.3    ,-,5.0    ,6.3    ,-,100.0    ,10.0    ,15.0    ,3.8    ,1.3    ,17.5    ,25.0    ,13.8    ,3.8    ,100.0    ,-,100.0    ,22.5    ,72.5    ,6.3    ,100.0    ,16.3    ,17.5    ,28.8    ,3.8    ,78.8    ,-,78.8    
その他,51    ,52.9    ,-,-,2.0    ,3.9    ,2.0    ,100.0    ,3.9    ,21.6    ,5.9    ,-,13.7    ,31.4    ,13.7    ,7.8    ,100.0    ,-,100.0    ,21.6    ,54.9    ,5.9    ,100.0    ,25.5    ,13.7    ,35.3    ,7.8    ,60.8    ,2.0    ,58.8    
わからない,10    ,40.0    ,-,10.0    ,-,-,-,100.0    ,-,20.0    ,-,-,-,30.0    ,-,-,100.0    ,-,100.0    ,-,50.0    ,-,100.0    ,20.0    ,-,30.0    ,-,50.0    ,10.0    ,40.0    
