,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 【全数ベース】＜Ｑ１のいずれかの機器を利用している（Ｑ１で「１」～「１５」のいずれかを回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【全数ベース】〔回答票２〕Ｑ２（ネット利用まとめ：1使っている）あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,インターネット利用（計）,インターネット非利用,モバイル機器（計）,据置型機器（計）,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）
  わからない,27    ,33.3    ,-,-,7.4    ,-,3.7    ,7.4    ,7.4    ,25.9    ,3.7    ,-,3.7    ,33.3    ,3.7    ,3.7    ,100.0    ,-,96.3    ,14.8    ,40.7    ,3.7    ,14.8    ,29.6    ,3.7    ,33.3    ,3.7    ,44.4    ,3.7    ,40.7    
小学生（計）,572    ,17.1    ,0.5    ,1.7    ,4.5    ,4.2    ,3.1    ,32.9    ,15.0    ,23.1    ,5.9    ,0.7    ,5.8    ,47.0    ,14.3    ,1.9    ,100.0    ,-,95.1    ,27.4    ,23.6    ,7.3    ,46.5    ,28.8    ,5.8    ,49.1    ,1.9    ,29.5    ,4.9    ,25.2    
  ルールを決めている（計）,424    ,18.4    ,0.5    ,1.9    ,4.7    ,4.2    ,2.8    ,34.7    ,15.1    ,25.2    ,5.9    ,0.9    ,6.1    ,46.2    ,14.6    ,2.1    ,100.0    ,-,95.0    ,27.8    ,25.0    ,7.1    ,48.6    ,31.1    ,6.1    ,48.1    ,2.1    ,30.4    ,4.7    ,26.4    
  特にルールを決めていない,135    ,14.1    ,0.7    ,1.5    ,3.7    ,4.4    ,3.7    ,30.4    ,15.6    ,16.3    ,5.9    ,-,5.2    ,49.6    ,14.1    ,0.7    ,100.0    ,-,95.6    ,26.7    ,20.0    ,8.1    ,43.7    ,21.5    ,5.2    ,52.6    ,0.7    ,27.4    ,5.2    ,22.2    
  わからない,13    ,7.7    ,-,-,7.7    ,-,7.7    ,-,7.7    ,23.1    ,7.7    ,-,-,46.2    ,7.7    ,7.7    ,100.0    ,-,92.3    ,23.1    ,15.4    ,7.7    ,7.7    ,30.8    ,-,46.2    ,7.7    ,23.1    ,7.7    ,15.4    
中学生（計）,1055    ,45.8    ,1.0    ,0.9    ,3.5    ,6.3    ,1.0    ,30.3    ,13.5    ,19.9    ,8.5    ,0.2    ,17.0    ,24.0    ,10.7    ,2.8    ,100.0    ,-,96.9    ,22.8    ,50.1    ,7.3    ,42.1    ,27.8    ,17.0    ,28.1    ,2.8    ,56.6    ,2.0    ,55.0    
  ルールを決めている（計）,731    ,46.4    ,1.1    ,1.0    ,2.7    ,6.0    ,0.7    ,32.4    ,14.8    ,20.8    ,10.0    ,0.3    ,16.7    ,23.7    ,10.3    ,2.6    ,100.0    ,-,96.9    ,23.7    ,50.2    ,6.7    ,45.0    ,30.4    ,16.7    ,27.6    ,2.6    ,56.2    ,1.6    ,54.9    
  特にルールを決めていない,315    ,44.8    ,1.0    ,1.0    ,5.1    ,7.0    ,1.9    ,26.0    ,10.8    ,17.5    ,5.4    ,-,17.8    ,24.4    ,12.1    ,3.5    ,100.0    ,-,96.8    ,21.6    ,50.2    ,8.9    ,36.2    ,21.6    ,17.8    ,28.9    ,3.5    ,57.8    ,2.9    ,55.6    
  わからない,9    ,33.3    ,-,-,11.1    ,-,-,11.1    ,-,33.3    ,-,-,11.1    ,33.3    ,-,-,100.0    ,-,100.0    ,-,44.4    ,-,11.1    ,33.3    ,11.1    ,33.3    ,-,44.4    ,-,44.4    
高校生（計）,965    ,90.6    ,0.4    ,0.8    ,1.0    ,3.0    ,0.1    ,29.3    ,15.5    ,9.4    ,1.6    ,-,11.6    ,11.5    ,7.2    ,1.8    ,100.0    ,-,99.4    ,21.8    ,92.0    ,3.1    ,43.0    ,10.7    ,11.6    ,14.2    ,1.8    ,94.9    ,0.9    ,94.3    
  ルールを決めている（計）,488    ,90.0    ,0.6    ,1.4    ,1.0    ,3.1    ,0.2    ,33.0    ,17.4    ,10.0    ,2.0    ,-,11.9    ,13.3    ,9.0    ,1.6    ,100.0    ,-,99.0    ,25.6    ,91.8    ,3.3    ,49.0    ,11.5    ,11.9    ,16.2    ,1.6    ,94.7    ,1.6    ,93.6    
  特にルールを決めていない,472    ,91.1    ,0.2    ,0.2    ,1.1    ,3.0    ,-,25.6    ,13.6    ,8.7    ,1.1    ,-,11.4    ,9.7    ,5.3    ,1.9    ,100.0    ,-,99.8    ,17.8    ,92.2    ,3.0    ,36.9    ,9.7    ,11.4    ,12.3    ,1.9    ,95.1    ,0.2    ,94.9    
  わからない,5    ,100.0    ,-,-,-,-,-,20.0    ,20.0    ,20.0    ,-,-,-,-,-,-,100.0    ,-,100.0    ,20.0    ,100.0    ,-,40.0    ,20.0    ,-,-,-,100.0    ,-,100.0    
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  インターネット利用（計）,2615    ,56.4    ,0.7    ,1.1    ,2.8    ,4.6    ,1.1    ,30.3    ,14.5    ,16.6    ,5.3    ,0.2    ,12.5    ,24.4    ,10.2    ,2.2    ,100.0    ,-,97.4    ,23.4    ,60.2    ,5.7    ,43.2    ,21.5    ,12.5    ,27.5    ,2.2    ,65.2    ,2.2    ,63.3    
  インターネット非利用（含わからない）,527    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-,-,-,-,-,-,-,-,-,-
小学生（計）,909    ,10.8    ,0.3    ,1.1    ,2.9    ,2.6    ,2.0    ,20.7    ,9.5    ,14.5    ,3.7    ,0.4    ,3.6    ,29.6    ,9.0    ,1.2    ,62.9    ,37.1    ,59.8    ,17.3    ,14.9    ,4.6    ,29.3    ,18.2    ,3.6    ,30.9    ,1.2    ,18.6    ,3.1    ,15.8    
  インターネット利用（計）,572    ,17.1    ,0.5    ,1.7    ,4.5    ,4.2    ,3.1    ,32.9    ,15.0    ,23.1    ,5.9    ,0.7    ,5.8    ,47.0    ,14.3    ,1.9    ,100.0    ,-,95.1    ,27.4    ,23.6    ,7.3    ,46.5    ,28.8    ,5.8    ,49.1    ,1.9    ,29.5    ,4.9    ,25.2    
  インターネット非利用（含わからない）,337    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-,-,-,-,-,-,-,-,-,-
中学生（計）,1216    ,39.7    ,0.9    ,0.8    ,3.0    ,5.4    ,0.9    ,26.3    ,11.7    ,17.3    ,7.4    ,0.2    ,14.7    ,20.8    ,9.3    ,2.5    ,86.8    ,13.2    ,84.0    ,19.8    ,43.5    ,6.3    ,36.5    ,24.1    ,14.7    ,24.3    ,2.5    ,49.1    ,1.7    ,47.7    
  インターネット利用（計）,1055    ,45.8    ,1.0    ,0.9    ,3.5    ,6.3    ,1.0    ,30.3    ,13.5    ,19.9    ,8.5    ,0.2    ,17.0    ,24.0    ,10.7    ,2.8    ,100.0    ,-,96.9    ,22.8    ,50.1    ,7.3    ,42.1    ,27.8    ,17.0    ,28.1    ,2.8    ,56.6    ,2.0    ,55.0    
  インターネット非利用（含わからない）,161    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,992    ,88.1    ,0.4    ,0.8    ,1.0    ,2.9    ,0.1    ,28.5    ,15.1    ,9.2    ,1.5    ,-,11.3    ,11.2    ,7.0    ,1.7    ,97.3    ,2.7    ,96.7    ,21.2    ,89.5    ,3.0    ,41.8    ,10.4    ,11.3    ,13.8    ,1.7    ,92.3    ,0.9    ,91.7    
  インターネット利用（計）,965    ,90.6    ,0.4    ,0.8    ,1.0    ,3.0    ,0.1    ,29.3    ,15.5    ,9.4    ,1.6    ,-,11.6    ,11.5    ,7.2    ,1.8    ,100.0    ,-,99.4    ,21.8    ,92.0    ,3.1    ,43.0    ,10.7    ,11.6    ,14.2    ,1.8    ,94.9    ,0.9    ,94.3    
  インターネット非利用（含わからない）,27    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,-,-,-,-,-,-,-,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  １人以上いる,1846    ,44.4    ,0.6    ,0.9    ,2.2    ,3.4    ,0.8    ,22.3    ,11.4    ,11.9    ,3.1    ,0.1    ,10.4    ,16.7    ,6.3    ,1.7    ,76.4    ,23.6    ,74.4    ,16.9    ,47.3    ,4.2    ,32.1    ,14.8    ,10.4    ,18.6    ,1.7    ,50.9    ,1.7    ,49.6    
  いない,1595    ,41.1    ,0.5    ,0.7    ,2.1    ,3.6    ,0.9    ,23.9    ,10.7    ,13.5    ,5.1    ,0.3    ,8.5    ,20.7    ,9.4    ,1.7    ,75.5    ,24.5    ,73.6    ,18.7    ,43.8    ,4.5    ,33.6    ,18.1    ,8.5    ,23.5    ,1.7    ,47.9    ,1.6    ,46.4    
小学生（計）,1080    ,9.1    ,0.3    ,0.9    ,2.4    ,2.2    ,1.7    ,17.4    ,8.0    ,12.2    ,3.1    ,0.4    ,3.1    ,24.9    ,7.6    ,1.0    ,53.0    ,47.0    ,50.4    ,14.5    ,12.5    ,3.9    ,24.6    ,15.3    ,3.1    ,26.0    ,1.0    ,15.6    ,2.6    ,13.3    
