,,,,,,,,,,,,,,
＜いずれかの機器でインターネットを使っている（Ｑ２で、1つ以上「１」を回答）方に＞,,,,,,,,,,,,,,
〔回答票７〕Ｑ７　あなたの家では、インターネットの使い方について何かルールがありますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,
,該当数,利用する時間を決めている,利用する場所を決めている,メール・メッセージを送る相手の制限,利用サイト・アプリ内容を決めている,送信・投稿内容を決めている,利用者情報を漏れないようにしている,料金上限や課金方法を決めている,困ったときはすぐに保護者に連絡する,その他,ルールを決めている（計）,特にルールを決めていない,わからない,回答計
  １人以上いる,580    ,29.8    ,20.9    ,7.6    ,14.7    ,11.4    ,16.0    ,20.7    ,23.6    ,2.1    ,66.2    ,33.1    ,0.7    ,180.5    
  いない,475    ,36.4    ,24.4    ,9.5    ,14.3    ,14.7    ,21.1    ,27.4    ,30.3    ,0.8    ,73.1    ,25.9    ,1.1    ,205.9    
高校生（計）,965    ,12.4    ,8.3    ,4.9    ,8.8    ,13.8    ,20.4    ,21.2    ,23.9    ,0.9    ,50.6    ,48.9    ,0.5    ,164.1    
  １人以上いる,553    ,11.6    ,7.6    ,4.9    ,8.0    ,14.6    ,19.0    ,20.4    ,22.1    ,0.9    ,47.4    ,52.3    ,0.4    ,161.7    
  いない,412    ,13.6    ,9.2    ,4.9    ,10.0    ,12.6    ,22.3    ,22.3    ,26.5    ,1.0    ,54.9    ,44.4    ,0.7    ,167.5    
〔地域〕,,,,,,,,,,,,,,
北海道・東北,323    ,23.5    ,14.2    ,7.4    ,11.8    ,13.6    ,21.7    ,24.5    ,28.8    ,1.9    ,60.7    ,37.8    ,1.5    ,186.7    
北関東,414    ,29.5    ,17.9    ,6.0    ,12.1    ,13.8    ,19.8    ,22.7    ,30.0    ,2.4    ,65.0    ,33.8    ,1.2    ,189.1    
南関東,379    ,30.1    ,21.9    ,10.0    ,16.9    ,14.0    ,25.3    ,24.3    ,27.4    ,0.5    ,71.0    ,27.7    ,1.3    ,199.5    
東海・北陸・信越,549    ,30.6    ,20.6    ,7.8    ,11.1    ,8.4    ,12.4    ,19.3    ,20.4    ,1.5    ,60.8    ,38.4    ,0.7    ,171.2    
近畿,424    ,22.9    ,16.0    ,8.0    ,10.8    ,11.6    ,15.8    ,19.1    ,24.8    ,2.4    ,61.8    ,38.0    ,0.2    ,169.6    
中国・四国,249    ,21.3    ,18.9    ,6.0    ,12.0    ,10.8    ,16.1    ,23.7    ,24.9    ,2.0    ,61.0    ,36.9    ,2.0    ,174.7    
九州・沖縄,277    ,29.6    ,19.9    ,5.1    ,11.6    ,10.8    ,12.6    ,19.9    ,21.7    ,1.8    ,61.0    ,38.3    ,0.7    ,171.8    
〔都市規模〕,,,,,,,,,,,,,,
大都市（政令指定都市）,680    ,28.8    ,17.2    ,8.1    ,15.0    ,12.9    ,20.4    ,25.6    ,31.0    ,2.5    ,69.7    ,29.4    ,0.9    ,191.9    
人口２０万人以上の市,652    ,28.1    ,20.6    ,9.5    ,12.0    ,12.4    ,17.8    ,20.7    ,26.8    ,1.7    ,64.0    ,35.7    ,0.3    ,185.6    
人口１０万人以上の市,444    ,25.7    ,16.4    ,5.9    ,10.4    ,10.6    ,15.3    ,18.9    ,22.1    ,1.8    ,58.6    ,40.1    ,1.4    ,168.5    
人口１０万人未満の市,608    ,27.6    ,21.2    ,6.1    ,13.0    ,11.7    ,16.9    ,22.0    ,22.4    ,1.5    ,61.7    ,36.3    ,2.0    ,180.8    
郡部（町村）,231    ,22.1    ,14.3    ,5.6    ,6.9    ,8.2    ,13.9    ,16.9    ,17.3    ,0.4    ,54.1    ,45.5    ,0.4    ,151.5    
〔都道府県〕,,,,,,,,,,,,,,
北海道,120    ,24.2    ,10.8    ,4.2    ,7.5    ,10.0    ,15.0    ,20.8    ,18.3    ,3.3    ,53.3    ,46.7    ,-,160.8    
青森県,37    ,13.5    ,10.8    ,8.1    ,8.1    ,10.8    ,21.6    ,18.9    ,21.6    ,2.7    ,56.8    ,43.2    ,-,159.5    
岩手県,19    ,31.6    ,15.8    ,5.3    ,5.3    ,10.5    ,5.3    ,15.8    ,21.1    ,-,57.9    ,36.8    ,5.3    ,152.6    
宮城県,67    ,25.4    ,17.9    ,7.5    ,13.4    ,13.4    ,17.9    ,29.9    ,31.3    ,1.5    ,61.2    ,38.8    ,-,197.0    
秋田県,25    ,8.0    ,28.0    ,24.0    ,32.0    ,40.0    ,72.0    ,52.0    ,68.0    ,-,84.0    ,16.0    ,-,340.0    
山形県,23    ,30.4    ,4.3    ,-,8.7    ,8.7    ,8.7    ,21.7    ,26.1    ,-,60.9    ,30.4    ,8.7    ,147.8    
福島県,32    ,31.3    ,18.8    ,12.5    ,18.8    ,15.6    ,34.4    ,18.8    ,46.9    ,-,75.0    ,18.8    ,6.3    ,221.9    
茨城県,69    ,31.9    ,15.9    ,5.8    ,14.5    ,10.1    ,11.6    ,15.9    ,27.5    ,-,60.9    ,37.7    ,1.4    ,172.5    
栃木県,48    ,27.1    ,20.8    ,4.2    ,12.5    ,16.7    ,27.1    ,31.3    ,20.8    ,2.1    ,66.7    ,29.2    ,4.2    ,195.8    
